dict	l_id	k1	predicted	reason	plain_excerpt	gold	notes
mw	132540	pratipad	equivalent	short_tok=2	beginning, commencement, TS. ; TBr.	synonym	two short EN glosses
mw	244096	sitakuYjara	equivalent	short_tok=4	m. a white elephant, L.	equivalent	single NP gloss; comma is not synonym list
mw	219454	SudDasOKya	equivalent	name_formula	n. N. of wk.	equivalent	name formula
mw	82504	tantrI	equivalent	name_formula	N. of a river, L.	equivalent	name formula
mw	22745	AgrahAyaRaka	encyclopedic	desc_tok=19_char=92	mfn. to be paid (as a debt) on the day of full moon of the month Agrahāyaṇa , Pāṇ. iv, 3, 50.	encyclopedic	long paraphrastic with condition
mw	84189	tAmrasAraka	equivalent	short_tok=4	m. a red-blossoming Khadira , L.	equivalent	short single gloss (over-triggered by length rule edge)
mw	205107	vfzaBANka	residual	eqn_head	m. = ˚Ba-ketU , MBh. ; R.	residual	equation to another lemma
mw	24490	Anavya	residual	eqn_head	mfn. = A/nava , T.	residual	equation
pwg	89329	vAkyaprabanDa	synonym	syn_list_n=2	m. fortlaufende Rede, Erzählung DHĀTUP. 35,1 .	synonym	two DE glosses
pwg	36662	DArApAta	equivalent	short_tok=5	( 1. DA˚ + pAta ) m. Regenguss , pl. MṚCCH. 84,19 . MEGH. 49 .	equivalent	single DE gloss Regenguss
pwg	91537	vitolA	equivalent	name_formula	f. N. pr. eines Flusses RĀJA-TAR. 8,922 .	equivalent	name formula
pwg	102776	saMyoDakaRwaka	equivalent	name_formula	m. N. pr. eines Yakṣa R. 7,14,21 .	equivalent	name formula
pwg	78476	pApabudDi	equivalent	short_tok=11	adj. Spr. 4555 . f. üble Absicht : yo rAmasya priyAM BAryAM pApabudDyA nirIkzase R. 3,53,50 .	encyclopedic	definition + verse example
pwg	100662	SUrpAdri	equivalent	name_formula	( SUrpa + adri ) m. N. pr. eines Berges im Süden VARĀH. BṚH. S. 14,14 ; vgl. sUryAdri MĀRK. P. 58,26 .	equivalent	name formula with location (still short ID)
pwg	16679	kArmuka	encyclopedic	eqn_then_senses	= karmaRe praBavati P. 5,1,103 . 1〉 adj. einem Werke gewachsen H. an. 3,21 . MED. k. 64 . — 2〉 m. Bambusrohr TRIK. 3,3,13 . H. an. MED.	encyclopedic	starts with = but continues multi-sense definition
pwg	14491	kaRwa	equivalent	short_tok=12	= kaRwaka am Anf. einiger compp. ( s. kaRwakuraRwa fgg. ) und in kaRwala, kaRwAlu, kaRwin .	residual	cross-ref / composition note
ap90	3992	araMgin	equivalent	short_tok=11	a. Passionless; ˚sattvaH a passionless being; a class of divinitieswith Buddhists.	encyclopedic	third clause is encyclopedic class note
ap90	17093	nivAku	equivalent	short_tok=4	a. Not speaking, silent.	synonym	two short glosses
ap90	10656	kAReyaH	equivalent	short_tok=6	Son of a one-eyed woman.	equivalent	short translational
