dict	l_id	k1	predicted	reason	plain_excerpt	gold	notes
ap90	3690	aByutpatanaM	synonym	syn_list_n=4	Springing or leaping against, sudden spring or leap, assault; alakzitAByutpatano nfpeRa R. 2. 27.		
ap90	15698	dolAyita	synonym	syn_list_n=3	a. Swung, shaken, oscillating &c.		
ap90	12633	guzpita	synonym	syn_list_n=2	a. Ved. Interlaced, intwined.		
ap90	23360	mUrtitvaM	synonym	syn_list_n=3	Embodiment, materiality, incarnation.		
ap90	17330	nIvft	synonym	syn_list_n=3	m. Any inhabited country, realm, kingdom.		
ap90	19352	pezaka	synonym	syn_list_n=2	a. Pounding, grinding.		
ap90	14863	tUzRIka	synonym	syn_list_n=2	a. Silent, taciturn.		
ap90	8545	upajalp	synonym	syn_list_n=3	c1c P. To talk to, converse with, chatter. -- To advise.		
ap90	6038	AwarUzaH	equivalent	name_formula	[ awarUza eva, svArTe aR ] N. of a tree, see awarUza .		
ap90	27832	SAMbavikaH	equivalent	short_tok=4	A dealer in shells.		
ap90	28273	SOkaM	equivalent	short_tok=4	A flock of parrots.		
ap90	15566	dUlikA	equivalent	short_tok=3	The Indigo plant.		
ap90	10686	kAnizWineyaH	equivalent	short_tok=11	[ kanizWA-apatyArTe Wak inaN ca ] The offspring of the youngest child.		
ap90	10769	kArIzaM	equivalent	short_tok=8	[ karIzARAM samUhaH aR ] A heap of dried cowdung.		
ap90	11263	kuvAhulaH	equivalent	short_tok=2	A camel.		
ap90	16567	nAhuzaH	equivalent	short_tok=4	An epithet of Yayāti.		
ap90	32017	BAravi	encyclopedic	desc_tok=14_char=102	Author of the Kirātārjunīya; mentioned along with Kālidāsa in an inscription dated 634. See kAlidAsa .		
ap90	27796	SAtakuMBaM	encyclopedic	desc_tok=7_char=63	1 Gold; Śi. 9. 9 ; N. 16. 34 . --2 The thorn-apple ( DattUra ).		
ap90	1114	aDyUQa	encyclopedic	desc_tok=32_char=226	a. [ aDi upari UQaH ] 1 Raised, exalted, elevated, hanging over. --2 Abundant, increased, copious. --3 Rich, affluent. --QaH Śiva. --QA A wife whose husband has married another wife and thus superseded her (= aDivinnA q. v. ).		
ap90	24530	las	encyclopedic	desc_tok=57_char=416	I. c1c P. ( lasati, lasita ) 1 To shine, glitter, flash; muktahareRa lasatA hasatIva stanadvayaM K. P. 10 ; karavARi caraRadvayaM sarasalasadalaktakarAgaM Gīt. 10 ; Amaru. 16 ; N. 22. 53. --2 To appear, arise, come to light. --3 To embrace.		
ap90	23912	raH	encyclopedic	desc_tok=29_char=218	1 Fire. --2 Heat. --3 Love, desire. --4 Speed. --5 (In prosody) A syllabic foot ( gaRa ) consisting of a short syllable between two long syllables. --rA 1 Giving. --2 Gold. --rI Going, motion. --raM Brightness, lustre.		
ap90	30636	sODa	encyclopedic	desc_tok=52_char=398	a. ( DI f. ) [ suDayA nirmitaM raktaM vA aR ] 1 Relating to, or having, nectar. --2 Having plaster, or plastered. --DaM 1 A white-washed mansion, any stuccoed house. --2 Any great mansion or palace, large house; sODavAsamuwajena vismftaH sa		
ap90	14690	tiryac	encyclopedic	desc_tok=136_char=959	a. ( tiraScI f. , rarely tiryaM , cI ) 1 Oblique, transverse, horizontal, awry; Ku. 6. 71. --2 Crooked, curved. --3 Crossing over, traversing. --4 Winding. --5 Lying in the middle or between. -- m. , -- n. 1 An animal (going horizontally, a		
ap90	26828	vIvaDikaH	encyclopedic	desc_tok=13_char=67	1 A man who carries loads by means of a yoke. --2 A general dealer.		
ap90	7028	ASalaH	residual	crossref_short	A tree; see jIvaka .		
ap90	28091.1	SutudrUH	residual	crossref	Lbody=28091		
ap90	294.1	aMgiras	residual	crossref	Lbody=294		
ap90	1431.1	animizA	residual	crossref	Lbody=1431		
ap90	11822.1	kzatraM	residual	crossref	Lbody=11822		
ap90	23408.1	mfRAlI	residual	crossref	Lbody=23408		
ap90	18376.1	paredyus	residual	crossref	Lbody=18376		
ap90	9306.2	uSIraM	residual	crossref	Lbody=9306		
bhs	1949	arDaparyaNka	synonym	syn_list_n=3	( m. ; = Pali aḍḍha-pallaṅka), half-paryaṅka position (with only one leg bent under): LV 〔155.1〕 (˚kaṃ kṛtvā).		
bhs	306	atimAna	synonym	syn_list_n=6	(= Pali id. ), self-conceit, excessive pride ; see also mānātimāna : Mv 〔iii.214.9〕; an-atimāna-tayā, Gv 〔464.5〕.		
bhs	4367	kaRWamaRi	synonym	syn_list_n=3	( m. or f. ; = Skt. Lex. id. only Trik. ), Adamʼs apple : ˚ṇiḥ Mvy 〔3962〕.		
bhs	8263	ninandati	synonym	syn_list_n=6	(unrecorded elsewhere), rejoices, applauds : ˚diṃsuḥ (or v.l. ˚ditsuḥ), 3 pl. aor. , Mv 〔iii.267.8〕 ( vs , but metr. poor).		
bhs	8605	nistIraRa	synonym	syn_list_n=9	, (to next, plus -ana), accomplishment : LV 〔429.18〕; Dbh 〔3.22〕 (pratisaṃvid-bhūmi-˚ṇāya); 〔4.7〕; 〔42.21〕; Gv 〔201.25〕; 〔344.19〕 (-samārambha-nis˚); all prose.		
bhs	10312	pratyezaka	synonym	syn_list_n=3	, m. ( cf. next), recipient : (-vyākaraṇa-)˚kaś Dbh 〔71.25〕; (prajñāpāramitāyāḥ …) AsP 〔40.16〕.		
bhs	12852	rUpyavatI	synonym	syn_list_n=2	, read Rūpāvatī , q.v. : RP 〔25.2〕.]		
bhs	14657	vyavadahyati	synonym	syn_list_n=4	( v.l. vyapa˚), pass. , is consumed, burnt away : (atha teṣāṃ …) tac chavimānsalohitaṃ ˚yati Mv 〔i.18.13〕 (prose).		
bhs	11158	BadrottamA	equivalent	name_formula	, n. of a lay-disciple: Gv 〔451.10〕 etc.		
bhs	5775	guRAkaragupta	equivalent	name_formula	, n. of a teacher and author: Sādh 〔541.14〕.		
bhs	12013	mArapramardaka	equivalent	name_formula	, n. of a son of Māra (favorable to the Bodhisattva): LV 〔316.22〕.		
bhs	12121	muci	equivalent	name_formula	, n. of an ancient king: Mvy 〔3562〕. Seems to correspond to Pali Mucala, DPPN .		
bhs	8018	nagarabindu	equivalent	name_formula	( cf. Pali Nagaravinda), n. of a city in Kośala: MSV 〔i.66.5〕.		
bhs	17136	suvarRaDvaja	equivalent	name_formula	( nt. ), n. of a palace at Aḍakavatī : Suv 〔116.1〕.		
bhs	14559	vErAmaka	equivalent	name_formula	( cf. Skt. Vairāma, n. of a people, Mbh. Cr. ed. 〔2.47.10〕), n. of a locality: Māy 〔48〕.		
bhs	14288	vizRulA	equivalent	name_formula	, n. of a rākṣasī: Māy 〔240.7〕.		
bhs	6564	jAtIya	encyclopedic	desc_tok=250_char=1772	, ifc. adj. , ( 1 ) (in this sense unrecorded; cf. jāti 2) of (such and such) an age : bāla-j˚, young in age , Mvy 〔7099〕; (kumārakāś …) SP 〔73.4〕 (in this and the next two bāla may also connote foolish ); bālāḥ ( fools ) kṣaṇyante madhudig		
