pratyahara	source_tag	span_length	phonemes_devanagari
aK	2	7	अ इ उ ण् ऋ ऌ क्
aC	4	13	अ इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च्
aṬ	5	18	अ इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च् ह य व र ट्
aṆ1	1	3	अ इ उ
aṆ2	6	20	अ इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च् ह य व र ट् ल ण्
aM	7	26	अ इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च् ह य व र ट् ल ण् ञ म ङ ण न म्
aL	14	57	अ इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च् ह य व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य् श ष स र् ह ल्
aṤ	10	39	अ इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च् ह य व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श्
iK	2	6	इ उ ण् ऋ ऌ क्
iC	4	12	इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च्
iṆ2	6	19	इ उ ण् ऋ ऌ क् ए ओ ङ् ऐ औ च् ह य व र ट् ल ण्
uK	2	5	उ ण् ऋ ऌ क्
eṄ	3	3	ए ओ ङ्
eC	4	6	ए ओ ङ् ऐ औ च्
aiC	4	3	ऐ औ च्
khaY	12	12	ख फ छ ठ थ च ट त व् क प य्
khaR	13	16	ख फ छ ठ थ च ट त व् क प य् श ष स र्
ṇaM	7	3	ण न म्
caR	13	11	च ट त व् क प य् श ष स र्
chaV	11	7	छ ठ थ च ट त व्
jaṤ	10	6	ज ब ग ड द श्
jhaY	12	25	झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य्
jhaR	13	29	झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य् श ष स र्
jhaL	14	31	झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य् श ष स र् ह ल्
jhaṤ	10	13	झ भ ञ् घ ढ ध ष् ज ब ग ड द श्
jhaṢ	9	7	झ भ ञ् घ ढ ध ष्
baṤ	10	5	ब ग ड द श्
bhaṢ	9	6	भ ञ् घ ढ ध ष्
maY	12	30	म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य्
yaŇ	8	15	य व र ट् ल ण् ञ म ङ ण न म् झ भ ञ्
yaṆ	6	6	य व र ट् ल ण्
yaM	7	12	य व र ट् ल ण् ञ म ङ ण न म्
yaY	12	37	य व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य्
yaR	13	41	य व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य् श ष स र्
*rÃ	6	4	र ट् ल ण्
raL	14	41	र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य् श ष स र् ह ल्
vaL	14	42	व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य् श ष स र् ह ल्
vaṤ	10	24	व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श्
ṥaR	13	4	श ष स र्
ṥaL	14	6	श ष स र् ह ल्
haL	14	44	ह य व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श् ख फ छ ठ थ च ट त व् क प य् श ष स र् ह ल्
haṤ	10	26	ह य व र ट् ल ण् ञ म ङ ण न म् झ भ ञ् घ ढ ध ष् ज ब ग ड द श्
