dict	l_id	k1	predicted	sample_seq
ap90	10918	kim	synonym	1
ap90	1118	aDyezaRaM	synonym	2
ap90	1133	ananaM	synonym	3
ap90	11683	kraT	synonym	4
ap90	15067	trESaMkavaH	synonym	5
ap90	21915	BagIraTaH	synonym	6
ap90	2802	aprajas	synonym	7
ap90	2946	abuDna	synonym	8
ap90	32162	videha	synonym	9
ap90	344	acCidra	synonym	10
ap90	423	ajyezWa	synonym	11
ap90	4276	alAtaH	synonym	12
ap90	4358	avakuwAra	synonym	13
ap90	6781	ArjIka	synonym	14
ap90	738	atuzAra	synonym	15
ap90	8758	upameya	synonym	16
ap90	10108	kaMwakilaH	equivalent	17
ap90	10539	kalhAraM	equivalent	18
ap90	1054	aDyetf	equivalent	19
ap90	10662	kAMqIraH	equivalent	20
ap90	10941	kilAwaH	equivalent	21
ap90	11072	kuqaMgaH	equivalent	22
ap90	11175	kuMBIraH	equivalent	23
ap90	11816	kzaRika	equivalent	24
ap90	11938	kzud	equivalent	25
ap90	12226	gagG	equivalent	26
ap90	12520	giriyakaH	equivalent	27
ap90	1253	anavaDi	equivalent	28
ap90	1263	anavaloBanaM	equivalent	29
ap90	12757	gOravita	equivalent	30
ap90	12918	GuMwikaM	equivalent	31
ap90	13460	cUcukaM	equivalent	32
ap90	13508	cezwaka	equivalent	33
ap90	13588	CalikaM	equivalent	34
ap90	13638	Cuw	equivalent	35
ap90	13684	jaMgAlaH	equivalent	36
ap90	13758	japya	equivalent	37
ap90	13869	jAtimat	equivalent	38
ap90	14376	taMtraRaM	equivalent	39
ap90	14505	talakaM	equivalent	40
ap90	14844	tUparaH	equivalent	41
ap90	14957	tErTa	equivalent	42
ap90	15132	dakaM	equivalent	43
ap90	1548	anugava	equivalent	44
ap90	15520	duvasana	equivalent	45
ap90	15553	dohita	equivalent	46
ap90	15704	dozAtana	equivalent	47
ap90	1575	anucCittiH	equivalent	48
ap90	16549	nAzwikaH	equivalent	49
ap90	17308	nIcA	equivalent	50
ap90	17324	nIliman	equivalent	51
ap90	17555	paMkila	equivalent	52
ap90	17693	patIyaMtI	equivalent	53
ap90	17706	patrI	equivalent	54
ap90	17848	parAskaMdin	equivalent	55
ap90	17866	parikfSa	equivalent	56
ap90	18986	pinAkin	equivalent	57
ap90	19354	pezaRiH	equivalent	58
ap90	19607	pragIti	equivalent	59
ap90	20317	pradih	equivalent	60
ap90	20485	praBAsvara	equivalent	61
ap90	20963	prasnuzA	equivalent	62
