eid	code	confidence	note
7	4.9.2	2	write-in; class of deities
25	4.9.7.5	2	write-in; Buddha epithets
29	4.9.2	1	write-in; mythic person, weak fit
31	4.9.1	2	write-in; god of love names
39	4.8.3.7	2	write-in; one of Kama's arrows
62	4.8.3.7	3	Shiva's bow
67	4.9.1	1	write-in; Matrika goddess
76	4.9.4	2	write-in; siddhi of lightness
122	4.9.2	3	write-in; semi-divine class
156	6.8.1.4	1	write-in; Kubera nidhi treasure
732	1.3.2.1	1	write-in; pond overflow channel
755	6.4.5	2	write-in; fisherman
757	5.1	1	write-in; strainer, no closer domain
768	1.6.1.5	2	shoal of young fish
784	1.6.1.3.4	2	aquatic monster, croc primary
787	1.6.1.3.2	2	
806	1.3.1.1	3	
809	1.3.1.1	3	
810	1.3.1.1	3	
832	1.3.1.3	3	
163	1.1	3	
164	1.6.1.2	2	both lemmas mean bird
168	8.5.2.8	3	write-in; the east
176	4.9.1	2	write-in; named god over 4.9.2
191	4.9.1	2	deity Brihaspati
194	4.9.2	2	write-in; Indra's mythic elephant
196	4.9.2	1	AK diggaja; gloss says dwarf
234	8.1.6.1	2	write-in; sixteenth part, digit
241	2.3.1.8.1	3	
247	1.1.1.2	2	write-in; pole star Dhruva
265	1.1.1.3	3	
314	4.9.4.7	2	write-in; fiery portent
322	8.4.1	1	write-in; bright half-month, kalavarga
340	8.4.1.4	3	write-in; month Bhadrapada
344	8.4.1.5	2	write-in; cool season
356	8.4.1	3	
362	4.3.1.1	3	
370	1.2.2	1	write-in; Samkhya primal matter
376	2.6.3	3	
381	3.2.1	2	
392	4.3.3.1	2	write-in; malice, ill will
409	2.3.3	3	
426	8.3.3.3.2	3	write-in; black
430	8.3.3.3.4	2	red
433	8.3.3.3.4	1	write-in; brown
436	8.3.3.3.7	2	write-in; variegated
448	4.9.3.1	3	write-in; the Veda
449	3.2.2	2	
450	3.5.3.1	1	write-in; sacred syllable Om
456	3.2.1.5	2	logic as discipline
464	3.5.1.8.4	2	rumour
472	4.9.4.4	2	curse and oath
480	3.5.1.2.6	2	write-in; word reduplication
485	3.3.3.8	3	
539	2.3.2.3	2	high shrill tone
550	4.2.3.5	3	write-in; drum
561	4.2.3.5	3	
601	3.4.2.1.3	2	bibhatsa, disgust
609	3.4.1.3	3	
623	3.4.2.1.8	3	
626	3.4.2.1	2	write-in; grief, manyu=sorrow here
627	3.4.2.2	2	
631	3.4.1.1	2	
652	3.5.6.4	2	gentle smile
667	7.8.5	2	hole, cavity
670	8.3.3.2	3	
674	4.9.2	2	write-in; naga serpent-demons
679	1.6.1.3.1	3	
689	2.5.3.2	3	
692	2.5.3.2	3	
702	4.9.6	1	write-in; hell name, narakavarga
704	4.9.6	3	write-in; a hell
705	4.9.6	2	write-in; hell name, gloss adj
708	4.9.2	2	hell-beings, ghosts
712	2.5.6.1	2	torment, agony
863	4.6.7.1	2	write-in; Bharata-varsha, India
868	4.6.7	2	write-in; Aryavarta region
870	4.6.7	2	
877	1.2.2.2	2	gravel
882	6.2.9	1	write-in; rain-fed land
887	1.2.1	1	adjacent ground
899	6.5.4.1	2	highway
2897	6.6.3	2	write-in; independent carpenter
2899	5.6.4	2	write-in; washerman
2926	4.6.2.1	3	write-in; foreigner, barbarian
2942	7.5.4.1	3	
2962	6.7.1.1	1	write-in; probing rod, gloss thin
2967	6.7.1	2	write-in; carpenter's chisel
2970	6.7.1.1	2	write-in; shoemaker's awl
2992	4.2.6.4	2	write-in; gambling-house keeper
2997	4.2.6.1.2	1	write-in; astapada game board
907	6.8.4.8	3	
910	6.5.2.1	2	write-in; rampart, earthwork
923	4.9.8.2	1	matha, monastic building
931	6.5.1.1	2	palace, large house
932	6.5.1.1	1	write-in; palace, lofty building
944	1.2.2.2	3	
954	6.5.2.4	2	arch, outer gate
973	1.2.1.1	2	mountain name
977	1.2.1.1	2	mountain name
979	1.2.1.1	2	write-in; Malyavat mountain, shailavarga
984	1.2.1.1	2	peak, summit
990	1.2.1.5	2	cave
994	6.6.2.1	2	write-in; mine, quarry
1073	1.5.1	3	
1075	1.5.1	3	write-in; Bassia tree
1111	1.5.1	3	write-in; betel-nut tree
1129	1.5.1	3	write-in; rohitaka tree
