token	freq	section	status	bucket	cls	ru_proposed	citation	note	classified_by
v. a.	990	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	преим.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
Vgl.	712	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	ср.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
vgl.	335	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	ср.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
u. s. w.	310	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	и т.д.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
s.	177	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	см.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
s. u.	97	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	см.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
u.	93	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	под	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)	«s. … u. X» = «см. под X»; ср. контексты «Vgl. также u. upa»	agent (Sonnet 5, claude-sonnet-5), H1682
d. i.	46	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	т.е.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
sc.	29	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	лат	а именно	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
z. B.	24	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	напр.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
d. h.	20	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	т.е.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
S.	17	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	см.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
s. d.	10	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	см.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
s. v.	6	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	лат	см.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
s. u. d.	2	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	см.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
Vergl.	1	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	ср.	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
näml.	1	cross-reference / deictic (RU_MAP ratifications + additions)	rule-bulk	b	нем	а именно	RU_MAP (pwg_ab_ru.py) + MG 10-07-2026 AskUserQuestion ruling (ABBREVIATIONS_RU.md Bucket A) + DA-vote N3(a)/N4 "все немецкие сокращения переводятся" (H178_DA_VOTE_ISSUE_REGISTER, 19-07-2026)		agent (Sonnet 5, claude-sonnet-5), H1682
Bed.	197	meaning / designation / usage labels	rule-bulk	b	нем	знач.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
st.	159	meaning / designation / usage labels	rule-bulk	b	нем	вместо	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
