#	Указатель русских изданий Махабхараты (H3152 A6) — парва → том, переводчик, год, издательство.
#	Зачем: PWG цитирует Махабхарату непрерывным калькуттским номером; русский перевод ищется
#	по критическому адресу (mbh_locus.bori). Указателя русских изданий в организации не было
#	ни в одном виде — это единственный по-настоящему новый актив H3152.
#	confidence: org-verified = подтверждено committed-метаданными этой организации;
#	series-standard = стандартный том академической серии; needs-check = требует сверки
#	с физическим изданием (человеком, до цитирования в статье).
#	scan: есть ли скан/цифровая копия В ОРГАНИЗАЦИИ (не «в интернете вообще»).
#	H3501 (25-08-2026): у ВСЕХ 18 парв есть выровненная цифровая копия (sa+ru) в
#	SamudraManthanam/web/corpus_builder/jsonl/ — перепись 25-08-2026 (число стихов в note);
#	контентная сверка с печатным изданием проведена пока только для парвы 5 (стих 5.145.21
#	корпуса сверен с PWG ni√viś caus. 8, svarājye).
parvan	name_ru	name_iast	volume_ru	translator	year	publisher	series	scan	confidence	source	note
1	Адипарва	Ādiparvan	Кн. 1	В. И. Кальянов	1950	М.–Л.: Изд-во АН СССР	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/01_mahabharata-adiparva.jsonl	1387 пар sa+ru; первый том русской академической Махабхараты
2	Сабхапарва	Sabhāparvan	Кн. 2	В. И. Кальянов	1962	М.–Л.: Изд-во АН СССР	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/02_mahabharata-sabhaparva.jsonl	438 пар
3	Араньякапарва (Лесная)	Āraṇyakaparvan	Кн. 3	Я. В. Васильков, С. Л. Невелева	1987	М.: Наука (ГРВЛ)	Памятники письменности Востока	есть	org-verified	SamudraManthanam/web/corpus_builder/jsonl/03_mahabharata-aranyakaparva.jsonl	2033 пары; метаданные web/corpus_builder/03_mahabharata-aranyakaparva.meta.json
4	Виратапарва	Virāṭaparvan	Кн. 4	В. И. Кальянов	1967	Л.: Наука	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/04_mahabharata-virataparva.jsonl	360 пар
5	Удьйогапарва	Udyogaparvan	Кн. 5	В. И. Кальянов	1976	Л.: Наука	Литературные памятники	есть	org-verified	SamudraManthanam/web/corpus_builder/jsonl/05_mahabharata-udyogaparva.jsonl	1006 пар; стих 5.145.21 корпуса сверен по русскому переводу с PWG ni√viś caus. 8 (svarājye) — H3501, 25-08-2026
6	Бхишмапарва	Bhīṣmaparvan	Кн. 6	В. Г. Эрман	2009	М.: Ладомир	Литературные памятники	есть	needs-check	SamudraManthanam/web/corpus_builder/jsonl/06_mahabharata-bhishmaparva.jsonl	1337 пар (главы 1–117); содержит Бхагавадгиту (6.23–40); атрибуция цифровой копии переводу Эрмана требует сверки
7	Дронапарва	Droṇaparvan	Кн. 7	В. И. Кальянов	1992	СПб.: Наука	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/07_mahabharata-dronaparva.jsonl	1219 пар
8	Карнапарва	Karṇaparvan	Кн. 8	Я. В. Васильков, С. Л. Невелева	1990	М.: Наука (ГРВЛ)	Памятники письменности Востока	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/08_mahabharata-karnaparva.jsonl	618 пар
9	Шальяпарва	Śalyaparvan	Кн. 9	В. И. Кальянов	1996	СПб.: Наука	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/09_mahabharata-shalyaparva.jsonl	533 пар; последний том, подготовленный В. И. Кальяновым
10	Сауптикапарва	Sauptikaparvan	Кн. 10–11 (один том)	Я. В. Васильков, С. Л. Невелева	1998	М.: Наука	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/10_mahabharata-sauptikaparva.jsonl	85 пар
11	Стрипарва	Strīparvan	Кн. 10–11 (один том)	Я. В. Васильков, С. Л. Невелева	1998	М.: Наука	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/11_mahabharata-striparva.jsonl	122 пары
12	Шантипарва	Śāntiparvan	нет печатного полного издания	цифровая полная копия в организации; печатная атрибуция открыта	—	—	—	есть	needs-check	SamudraManthanam/web/corpus_builder/jsonl/12_mahabharata-shantiparva.jsonl	12692 пары, главы 1–353 — ПОЛНЫЙ текст; чей это перевод при отсутствии полного печатного (частично Мокшадхарма и Нараяния — Б. Л. Смирнов, 1961/1983) — сверить
13	Анушасанапарва	Anuśāsanaparvan	нет печатного полного издания	цифровая полная копия в организации; печатная атрибуция открыта	—	—	—	есть	needs-check	SamudraManthanam/web/corpus_builder/jsonl/13_mahabharata-anushasanaparva.jsonl	6537 пар, главы 1–154 — полный текст; «самая длинная непереведённая парва» устарело (H3501)
14	Ашвамедхикапарва	Āśvamedhikaparvan	Кн. 14	Я. В. Васильков, С. Л. Невелева	2003	М.: Наука	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/14_mahabharata-ashvamedhikaparva.jsonl	517 пар; Анугита (14.16–50) отдельно переведена Б. Л. Смирновым
15	Ашрамавасикапарва	Āśramavāsikaparvan	Кн. 15–18 (один том)	Я. В. Васильков, С. Л. Невелева	2005	М.: Наука	Литературные памятники	есть	series-standard	SamudraManthanam/web/corpus_builder/jsonl/15_mahabharata-ashramavasikaparva.jsonl	162 пары
16	Маусалапарва	Mausalaparvan	Кн. 15–18 (один том)	Я. В. Васильков, С. Л. Невелева	2005	М.: Наука	Литературные памятники	есть	org-verified	SamudraManthanam/web/corpus_builder/jsonl/16_mahabharata-mausalaparva.jsonl	42 пары; есть также неопубликованный перевод А. Игнатьева (mahabharata-mausalaparva-ignatiev.jsonl)
17	Махапрастханикапарва	Mahāprasthānikaparvan	Кн. 15–18 (один том)	Я. В. Васильков, С. Л. Невелева	2005	М.: Наука	Литературные памятники	есть	org-verified	SamudraManthanam/web/corpus_builder/jsonl/17_mahabharata-mahaprasthanikaparva.jsonl	26 пар; есть также неопубликованный перевод А. Игнатьева
18	Сваргароханапарва	Svargārohaṇaparvan	Кн. 15–18 (один том)	Я. В. Васильков, С. Л. Невелева	2005	М.: Наука	Литературные памятники	есть	org-verified	SamudraManthanam/web/corpus_builder/jsonl/18_mahabharata-svargarohanikaparva.jsonl	28 пар; есть также неопубликованный перевод А. Игнатьева
