sup7_headword	in_mw72	in_mw99	mw99_annexure	class
A	Y	Y	N	kept
ABAradvAja	N	N	N	never-seen
ABAsa	Y	Y	N	kept
ABIla	Y	Y	N	kept
ABIra	Y	Y	N	kept
ABIzaRa	N	Y	Y	added-since-mw72
ABiSastya	N	N	N	never-seen
ABiSasya	N	Y	N	added-since-mw72
ABicArika	Y	Y	N	kept
ABijYAnika	N	Y	Y	added-since-mw72
ABimAnika	N	Y	N	added-since-mw72
ABirAmika	N	Y	Y	added-since-mw72
ABiyogika	N	Y	N	added-since-mw72
ABoga	Y	Y	N	kept
ABogin	N	Y	Y	added-since-mw72
ABogya	N	N	N	never-seen
ABra	N	Y	N	added-since-mw72
ADAkarman	N	N	N	never-seen
ADAna	Y	Y	N	kept
ADAnapaYcaka	N	N	N	never-seen
ADAraRamudra	N	N	N	never-seen
ADAraka	Y	Y	N	kept
ADArin	N	Y	Y	added-since-mw72
ADArzwya	N	Y	Y	added-since-mw72
ADAtar	N	N	N	never-seen
ADItayajus	N	Y	N	added-since-mw72
ADarmika	Y	Y	N	kept
ADavana	Y	Y	N	kept
ADikArika	Y	Y	N	kept
ADitsu	N	Y	N	added-since-mw72
ADomuKya	N	Y	Y	added-since-mw72
ADyAtmikI	N	N	N	never-seen
AGAtaka	N	N	N	never-seen
AGUrRana	Y	Y	N	kept
AGarGaram	N	Y	Y	added-since-mw72
AGarza	Y	Y	Y	kept
AGawwanA	N	Y	N	added-since-mw72
AGoza	Y	Y	N	kept
AGoziRI	N	Y	Y	added-since-mw72
AKAta	Y	N	N	dropped
AKaRqala	Y	Y	Y	kept
AKaRqalakakuB	N	Y	Y	added-since-mw72
AKaRqalasUnu	N	Y	N	added-since-mw72
AKara	Y	Y	N	kept
AKedana	N	Y	Y	added-since-mw72
AKida	N	Y	N	added-since-mw72
AKu	Y	Y	N	kept
AKuhan	N	Y	Y	added-since-mw72
AKurAja	N	N	N	never-seen
AKyA	Y	Y	N	kept
AKyApaka	N	Y	N	added-since-mw72
AKyAtaSiromaRi	N	N	N	never-seen
AKyAtika	Y	Y	N	kept
ANgirasa	Y	Y	Y	kept
ANgirasakalpa	N	N	N	never-seen
ANgirasapavitra	N	Y	N	added-since-mw72
ANgula	N	Y	Y	added-since-mw72
AQArikA	N	Y	Y	added-since-mw72
AQaka	Y	Y	N	kept
AQyacara	N	Y	N	added-since-mw72
AQyapadi	N	Y	N	added-since-mw72
AQyarAja	N	N	N	never-seen
ARapay	N	N	N	never-seen
ARipratyARInirhArayoga	N	N	N	never-seen
ARqakoSa	N	Y	Y	added-since-mw72
ARqapIta	N	Y	Y	added-since-mw72
ARqapille	N	N	N	never-seen
ARqavant	N	N	N	never-seen
ASASa	N	Y	Y	added-since-mw72
ASAmuKa	N	Y	Y	added-since-mw72
ASApAlIya	N	Y	Y	added-since-mw72
ASApAla	N	Y	N	added-since-mw72
ASApurA	N	Y	Y	added-since-mw72
ASAsti	N	Y	Y	added-since-mw72
ASAtanA	N	Y	Y	added-since-mw72
ASAtika	N	N	N	never-seen
ASAwavI	N	N	N	never-seen
ASIHpada	N	N	N	never-seen
ASIna	N	Y	Y	added-since-mw72
ASIrmant	N	N	N	never-seen
ASIrpada	N	N	N	never-seen
ASIrvacanamAlA	N	N	N	never-seen
ASIviza	N	Y	N	added-since-mw72
ASIvizanadI	N	Y	Y	added-since-mw72
ASIvizaparvata	N	Y	Y	added-since-mw72
ASIyas	Y	Y	N	kept
ASOca	Y	Y	N	kept
ASaMsa	N	Y	Y	added-since-mw72
ASaNkanIya	Y	Y	N	kept
ASaNkita	Y	Y	Y	kept
ASaNkya	Y	Y	N	kept
ASiKam	N	Y	Y	added-since-mw72
ASleza	Y	Y	N	kept
ASokeya	N	Y	N	added-since-mw72
ASramadvezasaMkarin	N	N	N	never-seen
ASramavAsaparvan	N	N	N	never-seen
ASrava	Y	Y	Y	kept
ASravaRam	N	Y	Y	added-since-mw72
ASretar	N	N	N	never-seen
ASrumay	N	N	N	never-seen
ASugI	N	N	N	never-seen
ASuganDa	N	Y	Y	added-since-mw72
ASukavi	N	Y	Y	added-since-mw72
ASvAsaka	Y	Y	N	kept
ASvAsanI	N	Y	Y	added-since-mw72
ASvadakziRa	N	N	N	never-seen
ASvalAyana	Y	Y	N	kept
ASvameDika	Y	Y	Y	kept
ASvapadika	N	Y	Y	added-since-mw72
ASvina	Y	Y	Y	kept
ASvineya	Y	Y	N	kept
ASyAma	N	Y	Y	added-since-mw72
ASya	N	Y	Y	added-since-mw72
AYCita	N	Y	Y	added-since-mw72
AYjanIkArI	N	Y	N	added-since-mw72
AYjaneya	Y	Y	Y	kept
AYjaneyapurARa	N	Y	Y	added-since-mw72
AYjigavi	N	N	N	never-seen
AbanDura	N	Y	N	added-since-mw72
AbrahmARqa	N	N	N	never-seen
AbrahmaBuvanAntikam	N	N	N	never-seen
AbrahmasaBam	N	Y	N	added-since-mw72
AbravantI	N	Y	Y	added-since-mw72
AcAmla	N	N	N	never-seen
AcAradarSana	N	N	N	never-seen
