sup7_headword	class	verdict	pw_L	pw_pc	pwkvn_L	pwkvn_pc	bhs_L	bhs_pc	mahavy	mahavy_refs	corr_n	corr_dicts	review_note
ABAradvAja	never-seen	confirmed-missing	614715	7-318-d	46975	7-318-d			0		1	sch	
ABiSastya	never-seen	confirmed-missing	614736	7-318-d	46996	7-318-d			0		0		
ABogya	never-seen	covered-by-fold-twin-flagged	589639	5-249-b	22021	5-249-b			0		2	md;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
ADAkarman	never-seen	confirmed-missing	575832	2-293-c	8263	2-293-c			0		1	sch	
ADAnapaYcaka	never-seen	confirmed-missing	575838	2-293-c	8269	2-293-c			0		1	acc	
ADAraRamudra	never-seen	confirmed-missing	614342	7-318-a	46609	7-318-a			1	21	1	sch	MAHAVY 21
ADAtar	never-seen	confirmed-missing	54836	1-172-a	27604	6-298-a			0		4	ccs;fri;pwg;sch	
ADyAtmikI	never-seen	covered-by-MW-stem-form	572258	1-297-a	4702	1-297-a			0		2	lrv;sch	MW99 stem-family forms: ADyAtmika
AGAtaka	never-seen	confirmed-missing	585307	4-296-a	17710	4-296-a			0		1	sch	
AKurAja	never-seen	confirmed-missing	589444	5-248-c	21826	5-248-c			0		1	sch	
AKyAtaSiromaRi	never-seen	confirmed-missing	575667	2-293-b	8098	2-293-b			0		1	sch	
ANgirasakalpa	never-seen	confirmed-missing	613733	7-317-a	46003	7-317-a			0		2	pe;sch	
AQyarAja	never-seen	confirmed-missing	589516	5-248-c	21898	5-248-c			0		1	sch	
ARapay	never-seen	confirmed-missing	613961	7-317-c	46228	7-317-c			0		0		named false-positive class: denominal -aya verb stem (MW handles under root/verb apparatus, not as a separate headword)
ARipratyARInirhArayoga	never-seen	confirmed-missing	613967	7-317-c	46234	7-317-c			1	245	0		MAHAVY 245,460
ARqapille	never-seen	confirmed-missing	575754	2-293-c	8185	2-293-c			0		2	acc;sch	
ARqavant	never-seen	confirmed-missing	52964	1-166-a	21907	5-248-c			0		2	pwg;sch	
ASAtika	never-seen	confirmed-missing	572465	1-297-c	4909	1-297-c			0		1	sch	
ASAwavI	never-seen	confirmed-missing	615369	7-320-a	47623	7-320-a	3039	109,2	0		2	bhs;sch	
ASIHpada	never-seen	confirmed-missing	585406	4-296-b	17806	4-296-b			0		1	sch	
ASIrmant	never-seen	confirmed-missing	615417	7-320-b	47671	7-320-b			0		2	cae;sch	
ASIrpada	never-seen	confirmed-missing	585409	4-296-b	17809	4-296-b			0		1	sch	
ASIrvacanamAlA	never-seen	confirmed-missing	576087	2-294-b	8518	2-294-b			0		2	acc;sch	
ASramadvezasaMkarin	never-seen	confirmed-missing	595349	6-298-b	27688	6-298-b			0		1	sch	
ASramavAsaparvan	never-seen	confirmed-missing	576105	2-294-b	8536	2-294-b			0		2	inm;sch	
ASretar	never-seen	confirmed-missing	595352	6-298-b	27691	6-298-b			0		1	sch	
ASrumay	never-seen	confirmed-missing	615486	7-320-b	47740	7-320-b			0		1	sch	named false-positive class: denominal -aya verb stem (MW handles under root/verb apparatus, not as a separate headword)
ASugI	never-seen	covered-by-MW-stem-form	572486	1-297-c	4930	1-297-c			0		1	sch	MW99 stem-family forms: ASuga
ASvadakziRa	never-seen	confirmed-missing	595358	6-298-b	27697	6-298-b			0		0		
AYjigavi	never-seen	confirmed-missing	589507	5-248-c	21889	5-248-c			0		1	sch	
AbrahmARqa	never-seen	confirmed-missing	572354	1-297-b	4798	1-297-b			0		1	sch	
AbrahmaBuvanAntikam	never-seen	confirmed-missing	572351	1-297-b	4795	1-297-b			0		1	sch	
AcAmla	never-seen	confirmed-missing	581218	3-255-b	13633	3-255-b			0		1	sch	
AcAradarSana	never-seen	confirmed-missing	575700	2-293-b	8131	2-293-b			0		2	acc;sch	
AcArakARqa	never-seen	confirmed-missing	575697	2-293-b	8128	2-293-b			0		2	acc;sch	
AcArakAlakUwa	never-seen	confirmed-missing	572177	1-296-c	4621	1-296-c			0		1	sch	
AcAryARI	never-seen	confirmed-missing	581227	3-255-b	13642	3-255-b			0		1	sch	
AcAryI	never-seen	covered-by-MW-stem-form	581230	3-255-b	13645	3-255-b			0		1	sch	MW99 stem-family forms: AcAryA;AcArya
AcAryaSikzA	never-seen	confirmed-missing	575727	2-293-b	8158	2-293-b			0		2	acc;sch	
AcAryacampU	never-seen	confirmed-missing	575712	2-293-b	8143	2-293-b			0		2	acc;sch	
AcAryaprapatti	never-seen	confirmed-missing	575715	2-293-b	8146	2-293-b			0		2	acc;sch	
AcCowanikA	never-seen	confirmed-missing	581236	3-255-c	13651	3-255-c			0		1	sch	
AcandrArkagraha	never-seen	confirmed-missing	585313	4-296-a	17716	4-296-a			0		1	sch	
AdaSakaRWabanDam	never-seen	confirmed-missing	572219	1-297-a	4663	1-297-a			0		1	sch	
AdarSAvekzaRa	never-seen	confirmed-missing	614198	7-317-d	46465	7-317-d			0		1	sch	
AdarSamuKa	never-seen	confirmed-missing	614195	7-317-d	46462	7-317-d	2673	093,1	1	167	2	bhs;sch	MAHAVY 167
AdeSanAprAtihArya	never-seen	confirmed-missing	614285	7-318-a	46552	7-318-a			1	16	1	sch	MAHAVY 16
AdevayAnam	never-seen	confirmed-missing	581281	3-255-c	13696	3-255-c			0		1	sch	
Adftatva	never-seen	confirmed-missing	589603	5-249-a	21985	5-249-a			0		1	sch	
Adicakrin	never-seen	confirmed-missing	572225	1-297-a	4669	1-297-a			0		1	sch	
Adikarmika	never-seen	covered-by-fold-twin-flagged	614213	7-317-d	46480	7-317-d	2679	093,2	1	19. 281	2	bhs;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AdikuRqanIya	never-seen	confirmed-missing	575808	2-293-c	8239	2-293-c			0		2	acc;sch	
AdimaDyAntaja	never-seen	confirmed-missing	595259	6-298-a	27598	6-298-a			0		1	sch	
AdityAramBaRa	never-seen	confirmed-missing	589600	5-249-a	21982	5-249-a			0		1	sch	
