class	pos	n	share_pct	note
homonym-extension(sup_7)	adj.	296	51.8	vol-7 <hom> > MW main max
homonym-extension(sup_7)	(no lex)	129	22.6	vol-7 <hom> > MW main max
homonym-extension(sup_7)	m.	69	12.1	vol-7 <hom> > MW main max
homonym-extension(sup_7)	f.	28	4.9	vol-7 <hom> > MW main max
homonym-extension(sup_7)	n.	27	4.7	vol-7 <hom> > MW main max
homonym-extension(sup_7)	adv.	20	3.5	vol-7 <hom> > MW main max
homonym-extension(sup_7)	other	2	0.4	vol-7 <hom> > MW main max
extension-of-PW-main-body(sup_7)	(no lex)	4011	85.6	(sup_7 headword present in pw main body)
extension-of-PW-main-body(sup_7)	m.	228	4.9	(sup_7 headword present in pw main body)
extension-of-PW-main-body(sup_7)	n.	150	3.2	(sup_7 headword present in pw main body)
extension-of-PW-main-body(sup_7)	f.	144	3.1	(sup_7 headword present in pw main body)
extension-of-PW-main-body(sup_7)	adj.	141	3.0	(sup_7 headword present in pw main body)
extension-of-PW-main-body(sup_7)	adv.	14	0.3	(sup_7 headword present in pw main body)
new-headword(sup_1)	(not-tabulated)	990		absent from pw main body
new-headword(sup_2)	(not-tabulated)	934		absent from pw main body
new-headword(sup_3)	(not-tabulated)	1005		absent from pw main body
new-headword(sup_4)	(not-tabulated)	657		absent from pw main body
new-headword(sup_5)	(not-tabulated)	1136		absent from pw main body
new-headword(sup_6)	(not-tabulated)	707		absent from pw main body
new-headword(sup_7)	(not-tabulated)	8406		absent from pw main body
never-seen-MW72-and-MW99(sup_7)	(all)	4112		absent from both MW editions
dropped-between-editions(sup_7)	(all)	27		MW72 had it, MW99 lost it
