key	mandala	hymn	verse	sa	hn	ru	de	en
rv01.001.01	1	1	1	॥ ऋग्वेदः मण्डलं 1॥ ⏎ अ॒ग्निमी॑ळे पु॒रोहि॑तं य॒ज्ञस्य॑ दे॒वमृ॒त्विज॑म्। ⏎ होता॑रं रत्न॒धात॑मम्॥	agnim īḷe purohitaṃ yajñasya devam ṛtvijam | ⏎ hotāraṃ ratnadhātamam ||	Агни призываю я – во главе поставленного ⏎ Бога жертвы (и) жреца, ⏎ Хотара обильнейшесокровищного.	Agni berufe ich als Bevollmächtigten, als Gott-Priester des Opfers, als Hotr, der am meisten Lohn einbringt.	I Laud Agni, the chosen Priest, God, minister of sacrifice, ⏎ The hotar, lavishest of wealth.
rv02.001.01	2	1	1	॥ ऋग्वेदः मण्डलं 2॥ ⏎ त्वम॑ग्ने॒ द्युभि॒स्त्वमा॑शुशु॒क्षणि॒स्त्वम॒द्भ्यस्त्वमश्म॑न॒स्परि॑। ⏎ त्वं वने॑भ्य॒स्त्वमोष॑धीभ्य॒स्त्वं नृ॒णां नृ॑पते जायसे॒ शुचि॑॥	tvam agne dyubhis tvam āśuśukṣaṇis tvam adbhyas tvam aśmanas pari | ⏎ tvaṃ vanebhyas tvam oṣadhībhyas tvaṃ nṛṇāṃ nṛpate jāyase śuciḥ ||	Ты, о Агни, (рождаешься) вместе с днями, ты, радостно ⏎ пылающий (нам) навстречу, ⏎ Ты – из вод, ты – из камня, ⏎ Ты – из деревьев, ты – из растений, ⏎ Ты, повелитель людей, рождаешься чистым.	Du, Agni, wirst mit Tagesanbruch geboren, du als Brennlustigster, du wirst aus dem Wasser, du aus dem Stein, du aus den Bäumen, du aus den Pflanzen, du Männerherr wirst rein geboren.	THOU, Agni, shining in thy glory through the days, art brought to life from out the waters, from the ⏎ stone: ⏎ From out the forest trees and herbs that grow on ground, thou, Sovran Lord of men art generatad ⏎ (sic) pure.
rv03.001.01	3	1	1	॥ ऋग्वेदः मण्डलं 3॥ ⏎ सोम॑स्य मा त॒वसं॒ वक्ष्य॑ग्ने॒ वह्निं॑ चकर्थ वि॒दथे॒ यज॑ध्यै। ⏎ दे॒वाँ अच्छा॒ दीद्य॑द्यु॒ञ्जे अद्रिं॑ शमा॒ये अ॑ग्ने त॒न्वं॑ जुषस्व॥	somasya mā tavasaṃ vakṣy agne vahniṃ cakartha vidathe yajadhyai | ⏎ devāṃ acchā dīdyad yuñje adriṃ śamāye agne tanvaṃ juṣasva ||	(Говоря так:) Вези меня, сильного от сомы!, о Агни, ⏎ Ты сделал меня возницей, чтобы я жертвовал на месте ⏎ жертвенных раздач. ⏎ Сверкая (мыслью) в направлении богов, я запрягаю давильный ⏎ камень, ⏎ Я тружусь. О Агни, радуйся своему телу!	Da du wünschest, daß ich den starken Trank des Soma opfere, o Agni, so hast du mich zum Leiter bei dem Opfer gemacht, um den Weihspruch zu sprechen. Bis zu den Göttern leuchtend - während ich den Preßstein in Gebrauch nehme und den Dienst versehe, o Agni, - finde du an dir selbst Wohlgefallen!	THOU, Agni, who wilt have the strong, hast made me the Soma's priest, to worship in assembly. ⏎ Thou shinest to the Gods, I set the pressstones. I toil; be joyful in thyself, O Agni.
rv04.001.01	4	1	1	॥ ऋग्वेदः मण्डलं 4॥ ⏎ त्वां ह्य॑ग्ने॒ सद॒मित्स॑म॒न्यवो॑ दे॒वासो॑ दे॒वम॑र॒तिं न्ये॑रि॒र इति॒ क्रत्वा॑ न्येरि॒रे। ⏎ अम॑र्त्यं यजत॒ मर्त्ये॒ष्वा दे॒वमादे॑वं जनत॒ प्रचे॑तसं॒ विश्व॒मादे॑वं जनत॒ प्रचे॑तसम्॥	tvāṃ hy agne sadam it samanyavo devāso devam aratiṃ nyerira iti kratvā nyerire | ⏎ amartyaṃ yajata martyeṣv ā devam ādevaṃ janata pracetasaṃ viśvam ādevaṃ janata pracetasam ||	Ведь тебя, о Агни, единодушные боги – ⏎ Бога всегда назначали распорядителем (обряда), ⏎ Одной лишь силой духа назначали. ⏎ Бессмертного почитайте среди смертных! ⏎ Бога, дружелюбного богам, порождайте, прозорливого! ⏎ Принадлежащего племени, дружелюбного богам порождайте, ⏎ прозорливого!	Dich, Agni, den Gott, haben ja die Götter jederzeit einmütig zu ihrem Wagenlenker bestellt, in diesem Sinne bestellt: Verehret den Unsterblichen unter den Sterblichen, erzeuget den götterfreundlichen Gott, den Verständigen, den ganz götterfreundlichen Gott, den Verständigen, den ganz götterfreundlichen erzeuget, den Verständigen!	, THEE Agni, have the Gods, ever of one accord, sent hither down, a God, appointed messenger, ⏎ yea, with their wisdom sent thee down. ⏎ The Immortal, O thou Holy One, mid mortal men, the God-devoted God, the wise, have they brought ⏎ forth, brought forth the omnipresent God-devoted Sage.
rv05.001.01	5	1	1	॥ ऋग्वेदः मण्डलं 5॥ ⏎ अबो॑ध्य॒ग्निः स॒मिधा॒ जना॑नां॒ प्रति॑ धे॒नुमि॑वाय॒तीमु॒षास॑म्। ⏎ य॒ह्वा इ॑व॒ प्र व॒यामु॒ज्जिहा॑ना॒ प्र भा॒नव॑ सिस्रते॒ नाक॒मच्छ॑॥	abodhy agniḥ samidhā janānām prati dhenum ivāyatīm uṣāsam | ⏎ yahvā iva pra vayām ujjihānāḥ pra bhānavaḥ sisrate nākam accha ||	Пробудился Агни благодаря дровам людей ⏎ Навстречу Ушас, приближающейся, как дойная корова. ⏎ Словно юные (птенцы), взлетающие на ветку, ⏎ Лучи спешат вперед к небосводу.	Agni ist durch das Brennholz der Menschen wach geworden in Erwartung der Usas, die wie eine Kuh sich naht. Wie die jüngsten Vögel, die zum Zweig auffliegen, eilen seine Strahlen zum Himmel empor.	Agni is wakened by the people's fuel to meet the Dawn who cometh like a milch-cow. ⏎ Like young trees shooting up on high their branches, his flames are rising to the vault of heaven.
rv06.001.01	6	1	1	॥ ऋग्वेदः मण्डलं 6॥ ⏎ त्वं ह्य॑ग्ने प्रथ॒मो म॒नोता॒स्या धि॒यो अभ॑वो दस्म॒ होता॑। ⏎ त्वं सीं॑ वृषन्नकृणोर्दु॒ष्टरी॑तु॒ सहो॒ विश्व॑स्मै॒ सह॑से॒ सह॑ध्यै॥	tvaṃ hy agne prathamo manotāsyā dhiyo abhavo dasma hotā | ⏎ tvaṃ sīṃ vṛṣann akṛṇor duṣṭarītu saho viśvasmai sahase sahadhyai ||	Ведь это ты, о Агни, был первым ⏎ Вдохновителем этой молитвы (и) хотаром, о чудесный. ⏎ Это ты, о бык, сделал неодолимой (свою) ⏎ Силу, чтоб можно было осилить любую силу.	Du, Agni, warst ja der erste Ersinner und Opferpriester dieser Dichtung, du Meister. Du Bulle machtest es zu einer unüberwindlichen Macht, um jede Macht zu überwältigen.	THOU, first inventor of this prayer, O Agni, Worker of Marvels, hast become our Herald. ⏎ Thou, Bull, hast made us strength which none may conquer, strength that shall overcome all other ⏎ prowess.
rv07.001.01	7	1	1	॥ ऋग्वेदः मण्डलं 7॥ ⏎ अ॒ग्निं नरो॒ दीधि॑तिभिर॒रण्यो॒र्हस्त॑च्युती जनयन्त प्रश॒स्तम्। ⏎ दू॒रे॒दृशं॑ गृ॒हप॑तिमथ॒र्युम्॥	agniṃ naro dīdhitibhir araṇyor hastacyutī janayanta praśastam | ⏎ dūredṛśaṃ gṛhapatim atharyum ||	Агни, о мужи, силами вдохновения из двух кусков ⏎ дерева ⏎ Порождайте движением руки, (его,) прославленного, ⏎ Далеко видного хозяина дома, пламенеющего!	Den Agni erzeugten die Männer unter innerem Erschauen mit Handbewegung aus den Reibhölzern, den trefflichen, weithin sichtbaren Hausherren, den pfeilartigen.	THE men from fire-sticks, with their hands' swift movement, have, in deep thought, engendered ⏎ glorious Agni, ⏎ Far-seen, with pointed flame, Lord of the homestead.
rv08.001.01	8	1	1	॥ ऋग्वेदः मण्डलं 8॥ ⏎ मा चि॑द॒न्यद्वि शं॑सत॒ सखा॑यो॒ मा रि॑षण्यत। ⏎ इन्द्र॒मित्स्तो॑ता॒ वृष॑णं॒ सचा॑ सु॒ते मुहु॑रु॒क्था च॑ शंसत॥	mā cid anyad vi śaṃsata sakhāyo mā riṣaṇyata | ⏎ indram it stotā vṛṣaṇaṃ sacā sute muhur ukthā ca śaṃsata ||	Только не воспевайте ничего другого! ⏎ Друзья, не промахнитесь! ⏎ Восхваляйте лишь Индру-быка у выжатого сомы ⏎ И исполняйте гимны постоянно!	Traget nur nichts anderes vor; ihr Freunde, versehet euch nicht! Preiset nur Indra, den Bullen, beim Soma, und traget immer wieder Loblieder vor!	GLORIFY naught besides, O friends; so shall no sorrow trouble you. ⏎ Praise only mighty Indra when the juice is shed, and say your lauds repeatedly:
rv09.001.01	9	1	1	॥ ऋग्वेदः मण्डलं 9॥ ⏎ स्वादि॑ष्ठया॒ मदि॑ष्ठया॒ पव॑स्व सोम॒ धार॑या। ⏎ इन्द्रा॑य॒ पात॑वे सु॒तः॥	svādiṣṭhayā madiṣṭhayā pavasva soma dhārayā | ⏎ indrāya pātave sutaḥ ||	Самым сладким, самым опьяняющим ⏎ Потоком очищайся, о сома, ⏎ Выжатый Индре для питья!	Läutere dich, Soma, im süßesten, berauschendsten Erguß, für Indra zum Trunke ausgepreßt!	In sweetest and most gladdening stream ⏎ flow pure, O Soma, on thy way, ⏎ Pressed out for Indra, for his drink.
rv10.001.01	10	1	1	॥ ऋग्वेदः मण्डलं 10॥ ⏎ अग्रे॑ बृ॒हन्नु॒षसा॑मू॒र्ध्वो अ॑स्थान्निर्जग॒न्वान्तम॑सो॒ ज्योति॒षागा॑त्। ⏎ अ॒ग्निर्भा॒नुना॒ रुश॑ता॒ स्वङ्ग॒ आ जा॒तो विश्वा॒ सद्मा॑न्यप्राः॥	agre bṛhann uṣasām ūrdhvo asthān nirjaganvān tamaso jyotiṣāgāt | ⏎ agnir bhānunā ruśatā svaṅga ā jāto viśvā sadmāny aprāḥ ||	(Еще) до зорь он поднялся высоко вверх; ⏎ Выйдя из мрака, он пришел со (своим) светом. ⏎ Агни со светлым сиянием, с прекрасными членами, ⏎ (Едва) родившись, заполнил все селения.	Noch vor den Morgenröten hat er sich hoch aufgerichtet; aus dem Dunkel heraustretend ist er mit seinem Lichte gekommen. Agni mit hellem Scheine, von schönen Gliedern hat eben geboren alle Wohnsitze erfüllt.	HIGH hath the Mighty risen before the dawning, and come to us with light from out the darkness. ⏎ Fair-shapen Agni with white-shining splendour hath filled at birth all human habitations.
