slug	class	verdict	hw_slp1	matched_seg	gloss
capalaka	cologne_mw	match_G2	capalaka	fickle inconsiderate	Capalaka (चपलक):—[from capala ] mfn. fickle, inconsiderate, [Harivaṃśa 4546.]
alamtaram	cologne_mw	match_G2	alaMtarAm	very much better or easier to	1) Alaṃtarām (अलंतराम्):—[= alaṃ-tarām ] [from alaṃ > alam ] ind. ([Comparative degree] of alaṃ ) exceedingly, [Kumāra-sambhava xiv, 16 and xv, 28] 2) [ v.s. ...] very much better or easier to (Inf.), [Śiśupāla-vadha ii, 106.]
naddhri	cologne_mw	match_G2	nadDrI	a strip of leather	Naddhrī (नद्ध्री):—[from naddha ] f. a strip of leather, [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.]
madraka	cologne_mw	match_G2	madraka	belonging to or produced in madra	1) Madraka (मद्रक):—[from mad ] mfn. = mādro mādrau vā bhaktir asya , [Pāṇini 4-3, 100], [vArttika] 2, [Patañjali] 2) [ v.s. ...] belonging to or produced in Madra, [Horace H. Wilson] 3) [ v.s. ...] m. ([plural]) Name of a degraded people (= madra ), [Mahābhārata; Harivaṃśa; Purāṇa] 4) [ v.s. ...] (sg.) a prince or an inhabitant of Madra, [Mahābhārata] 5) [ v.s. ...] Name of Śibi (See under madra ), [Harivaṃśa] 6) [ v.s. ...] of a poet, [Catalogue(s)] 7) [from mad ] n. Name of a kind of song, [Yājñavalkya] 8) [ v.s. ...] a kind of metre, [Colebrooke] 9) Mādraka (माद्रक):—[from mādra ] m. a prince of the Madras, [Inscriptions]
kramaprapta	cologne_mw	match_G2	kramaprApta	obtained by hereditary descent	Kramaprāpta (क्रमप्राप्त):—[= krama-prāpta ] [from krama > kram ] mfn. obtained by hereditary descent, [Nalopākhyāna xii, 36.]
dravakanda	cologne_mw	match_G2	drAvakanda	a kind of bulbous plant	[ «previous (D) next» ] — Dravakanda in Sanskrit glossary Drāvakanda (द्रावकन्द):—[= drāva-kanda ] [from drāva ] m. a kind of bulbous plant, [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.]
bhuvallura	cologne_mw	match_G2	BUvallUra	earth s flesh a mushroom	Bhūvallūra (भूवल्लूर):—[= bhū-vallūra ] n. ‘earth’s flesh’, a mushroom, [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.]
virenya	cologne_mw	match_G2	vIreRya	manly heroic	Vīreṇya (वीरेण्य):—[from vīr ] mfn. manly, heroic, [Ṛg-veda]
bakaraja	cologne_mw	match_G2	bakarAja	the king of the cranes called raja dharman son of kasyapa	[ «previous (B) next» ] — Bakaraja in Sanskrit glossary Bakarāja (बकराज):—[= baka-rāja ] [from baka ] m. the king of the cranes (called Rāja-dharman, son of Kaśyapa; See, [Mahābhārata xii, 6336]).
sarvagati	cologne_mw	match_G2	sarvagati	the refuge of all	Sarvagati (सर्वगति):—[= sarva-gati ] [from sarva ] f. the refuge of all, [Mahābhārata; Pañcarātra]
anangamangala	cologne_mw	match_G2	anaNgamaNgala	of a bana by sundara kavi	Anaṅgamaṅgala (अनङ्गमङ्गल):—[= anaṅga-maṅgala ] [from an-aṅga ] Name of a Bāṇa by Sundara Kavi
amravarta	cologne_mw	match_G2	AmrAvarta	inspissated mango juice	Āmrāvarta (आम्रावर्त):—[from āmra ] m. inspissated mango juice, [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.]
bharatinirajana	cologne_mw	match_G2	BAratInIrAjana	of a poem containing the praise of sarasvati by laksmi narayana	Bhāratīnīrājana (भारतीनीराजन):—[= bhāratī-nīrājana ] [from bhāratī > bhārata ] n. Name of a poem (containing the praise of Sarasvatī) by Lakṣmī-nārāyaṇa.
kharatva	cologne_mw	match_G2	Karatva	the state of an ass	[ «previous (K) next» ] — Kharatva in Sanskrit glossary Kharatva (खरत्व):—[= khara-tva ] [from khara ] n. the state of an ass, [Hemādri’s Caturvarga-cintāmaṇi]
labhalabha	cologne_mw	match_G2	lABAlABa	profit and loss gain and detriment	Lābhālābha (लाभालाभ):—[from lābha > labh ] m. [dual number] profit and loss, gain and detriment, [Manu-smṛti ix, 331.]
vacas	cologne_mw	match_G2	vacas	singing song of birds	1) Vacas (वचस्):—[from vac ] 1. vacas n. (for 2. See p. 914, col. 2) speech, voice, word, [Ṛg-veda] etc. etc. ( casāmpatiḥ Name of Bṛhaspati, [Laghujātaka, by Varāha-mihira]) 2) [ v.s. ...] singing, song (of birds), [Ṛtusaṃhāra] 3) [ v.s. ...] advice, direction, command, order, [Mahābhārata; Kāvya literature] etc. ( vacaḥ-√kṛ , with [genitive case], ‘to follow the advice of’; vacasā mama , ‘on my advice’) 4) [ v.s. ...] an oracular utterance (declarative of some future fate or destiny), [Varāha-mihira’s Bṛhat-saṃhitā] 5) [ v.s. ...] a sentence, [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.] 6) [ v.s. ...] (in gram.) number (See dvi-v ). 7) [from vañc ] 2. vacas mfn. (for 1. See p. 912, col. 3) in adhovacas , q.v. 8) Vācas (वाचस्):—[from vāc ] 1. vācas See vi-vācas and sa-vācas . 9) [ v.s. ...] 2. vācas [genitive case] of vāc , in [compound]
alpiyahkha	cologne_mw	match_G2	alpIyaHKA	having a very small vulva	[ «previous (A) next» ] — Alpiyahkha in Sanskrit glossary Alpīyaḥkhā (अल्पीयःखा):—[= alpīyaḥ-khā ] [from alpīyas > alpa ] f. having a very small vulva, [Suśruta]
yathadhikara	cologne_mw	match_G2	yaTADikAra	according to office or rank or position	[ «previous (Y) next» ] — Yathadhikara in Sanskrit glossary 1) Yathādhikāra (यथाधिकार):—[from yathā > ya-tama ] [in the beginning of a compound] ( thādh ) according to office or rank or position, [Jātakamālā] 2) [= yathā-dhikāra ] [from yathādhikāra > yathā > ya-tama ] acc° to authority, [Bhāgavata-purāṇa]
kallaviratantra	cologne_mw	match_G2	kallavIratantra	of a buddhist work also called canda maha rosana tantra	[ «previous (K) next» ] — Kallaviratantra in Sanskrit glossary Kallavīratantra (कल्लवीरतन्त्र):—[= kalla-vīra-tantra ] [from kalla > kall ] n. Name of a Buddhist work (also called Caṇḍā-mahā-roṣaṇa-tantra).
virasthana	cologne_mw	match_G2	vIrasTAna	place or condition of a hero	1) Vīrasthāna (वीरस्थान):—[= vīra-sthāna ] [from vīra > vīr ] n. place or condition of a hero, [ṢaḍvBr.] 2) [ v.s. ...] a [particular] posture (practised by ascetics), [Mahābhārata] ( cf. vīrāsana ) 3) [ v.s. ...] Name of a place sacred to Śiva, [Mahābhārata]
sarasvata	cologne_mw	match_G2	sArasvata	relating to the rsi sarasvata	1) Sārasvata (सारस्वत):—mf( ī ) n. relating or belonging to Sarasvat ( q.v. ) or to Sarasvatī (the river or the goddess) derived or coming from them, [Ṛg-veda] etc. etc. 2) relating to the Ṛṣi Sārasvata, [Mahābhārata] 3) belonging to the Sārasvata country, [Mahābhārata] 4) eloquent, learned, [Horace H. Wilson] 5) m. a Bilva stick, [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.] 6) Name of a Ṛṣi (fabled to have sprung from the personified Sarasvatī river), [Mahābhārata] (also tā gaṇāḥ ), [Harivaṃśa] 7) of a Vyāsa, [Viṣṇu-purāṇa] 8) ([plural]) Name of a people dwelling on the S° river ( id est. in the north-west part of the province of Delhi including part of the Panjāb), [Atharva-veda.Pariś.; Mahābhārata; Varāha-mihira’s Bṛhat-saṃhitā; Purāṇa] 9) ([plural]) Name of a [particular] tribe of Brāhmans (so called as coming from the above country or as supposed to be descended from the above Ṛṣi), [Bhāgavata-purāṇa] 10) (sg.) the twelfth Kalpa or day of Brahmā, [Hemādri’s Caturvarga-cintāmaṇi] 11) a staff of the Bilva tree, [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.] 12) a [particular] ceremonial in the worship of Sarasvatī, [ Monier-Williams’ Sanskrit-English Dictionary ] 13) n. a [particular] Sattra, [Jaimini] 14) eloquence, [Prasannarāghava] 15) n. Name of a grammar (= f.)
kimdatta	cologne_mw	match_G2	kiMdatta	of a sacred well	[ «previous (K) next» ] — Kimdatta in Sanskrit glossary Kiṃdatta (किंदत्त):—[= kiṃ-datta ] [from kiṃ > kim ] m. Name of a sacred well, [Mahābhārata iii, 6069] ([varia lectio] data ).
suguna	cologne_mw	match_G2	suguRa	very virtuous or excellent	Suguṇa (सुगुण):—[= su-guṇa ] [from su > su-ga ] mf( ā ) n. very virtuous or excellent, [Caurapañcāśikā]
