form_slp1	lemma_slp1	pos	n_entries
IzAdantAn	IzAdanta	noun	2
IzAdanta	IzAdanta	noun	4
IzatkArya	IzatkArya	noun	2
IzitA	Iz	noun	6
Izita	Iz	noun	4
Izitam	Iz	noun	6
Jalla	Jalla	noun	2
JazARAm	Jaz	noun	12
KARqa	KARqa	noun	2
KARqavAyana	KARqavAyana	noun	2
KAdaTa	KAd	verb	1
KAdanam	KAdi	noun	6
KAdayanti	KAdi	noun	8
KAde	KAdi	noun	44
KAdin	KAdi	noun	4
KAlatya	KAlatya	noun	2
KAnita	KAni	noun	2
KaRqava	KaRqava	noun	4
KaRqayitum	KaRqi	ind	3
KaRqitA	KaRq	noun	6
KaRqitAnAm	KaRq	noun	6
KaRqyamAne	KaRq	noun	18
KaSarIrin	KaSarIrin	noun	2
KaYjarIwaka	KaYjarIwaka	noun	2
Kadyotana	Kadyotana	noun	2
KagADipa	KagADipa	noun	2
KagatAn	Kagata	noun	1
KagatAnAm	Kagata	noun	3
Kagata	Kagata	noun	2
KageSvara	KageSvara	noun	2
Kajakft	Kajakft	noun	7
Kalaja	Kalaja	noun	2
Kalakula	Kalakula	noun	4
Kalvala	Kalvala	noun	2
KamUrtimAn	KamUrtimat	noun	1
Kan	KaRq	noun	14
KanAmas	Kan	verb	1
KanI	Kani	noun	12
KanInetra	KanInetra	noun	2
Kanat	Kan	noun	3
KanatAm	Kan	noun	2
Kanitrima	Kanitrima	noun	2
KaqUra	KaqUra	noun	2
KaqgaDara	KaqgaDara	noun	2
KaqgacarmaDara	KaqgacarmaDara	noun	2
Kaqgahasta	KaqgahastA	noun	3
Kaqgin	Kaqgin	noun	4
KarakaRqUyitam	KarakaRqUyita	noun	3
Karataram	Karatara	noun	3
KarvavAsinI	KarvavAsin	noun	4
KarvikA	KarvikA	noun	3
Karvita	Karv	noun	2
KasTAn	KasTa	noun	1
KasTAnAm	KasTa	noun	3
KasTa	KasTa	noun	2
Kawaka	KawakA	noun	3
KawvANgahasta	KawvANgahasta	noun	2
KecaratA	KecaratA	noun	3
Kfgala	Kfgala	noun	2
Kid	Kid	noun	21
Kidra	Kidra	noun	4
KilIkfta	KilIkfta	noun	2
Kilya	Kilya	noun	2
KinnamAnasa	KinnamAnasa	noun	2
KyApita	KyApi	noun	2
KyApyamAna	KyApi	noun	2
KyAtAm	KyA	noun	3
PAlakfzwa	PAlakfzwa	noun	4
PAlakuddAlalANgalI	PAlakuddAlalANgalin	noun	1
PAlguni	PAlgunI	noun	5
PaRABft	PaRABft	noun	7
PaRin	PaRin	noun	4
PaRipati	PaRipati	noun	3
Pal	Pal	noun	14
PalASI	PalASin	noun	1
PalASana	PalASana	noun	2
PalASin	PalASin	noun	2
PalAgama	PalAgama	noun	2
PalAhAra	PalAhAra	noun	2
PalAkANkzI	PalAkANkzin	noun	1
PalAkANkzin	PalAkANkzin	noun	2
PalAnumeya	PalAnumeya	noun	2
PalArTin	PalArTin	noun	2
PalArTitva	PalArTitva	noun	2
PalAsava	PalAsava	noun	2
PalaBakza	PalaBakza	noun	2
PalaDarman	PalaDarman	noun	3
PalaSAlin	PalaSAlin	noun	2
Palahetu	Palahetu	noun	3
PalakAle	PalakAla	noun	9
PalamUlAni	PalamUla	noun	3
PalamUla	PalamUla	noun	2
PalamUlam	PalamUla	noun	3
PalamUle	PalamUla	noun	9
Palanirvftti	Palanirvftti	noun	3
Palanizpatti	Palanizpatti	noun	3
PalapAkAnta	PalapAkAntA	noun	3
PalapAtana	PalapAtana	noun	2
PalasTa	PalasTa	noun	2
PalatA	Pal	noun	4
PalepsA	PalepsA	noun	3
PalgunAnAm	Palguna	noun	6
PalgutA	PalgutA	noun	3
Paliga	Paliga	noun	2
Palin	Palin	noun	4
Palinam	Palina	noun	6
PalitAs	Palita	noun	10
Palodaya	Palodaya	noun	2
Palodayam	Palodaya	noun	3
PenAhAra	PenAhAra	noun	2
PenaDarman	PenaDarman	noun	3
SAKAntagam	SAKAntaga	noun	3
SAKAntara	SAKAntara	noun	2
SAKin	SAK	noun	2
SARqa	SARqa	noun	2
SARqilIputra	SARqilIputra	noun	2
SASvatatva	SASvatatva	noun	2
SASvati	SASvatI	noun	5
SAcigu	SAcigu	noun	3
SAdvalAnAm	SAdvala	noun	9
SAkA	SAki	noun	10
SAkAhAra	SAkAhAra	noun	2
SAkAhArasya	SAkAhAra	noun	2
SAkAyanya	SAkAyanya	noun	2
SAkadvIpam	SAkadvIpa	noun	3
SAkalahomIya	SAkalahomIya	noun	2
SAkarasa	SAkarasa	noun	2
SAkawa	SAkawa	noun	6
SAkin	Sak	noun	4
SAkman	SAkman	noun	3
SAkti	SAki	noun	12
SAkunim	SAkuni	noun	2
SAlApataye	SAlApati	noun	2
SAlAsTa	SAlAsTa	noun	2
SAlInatAm	SAlInatA	noun	2
SAlInatayA	SAlInatA	noun	2
SAlakawaNkawa	SAlakawaNkawa	noun	4
SAlapotam	SAlapota	noun	3
SAlaprAMSu	SAlaprAMSu	noun	3
SAlapuzpaniBa	SAlapuzpaniBa	noun	2
SAlasaNkASa	SAlasaMkASa	noun	2
SAlaskanDA	SAlaskanDa	noun	1
SAlaskanDa	SAlaskanDa	noun	2
SAlaskanDam	SAlaskanDa	noun	3
SAliBavana	SAliBavana	noun	2
SAliSiras	SAliSiras	noun	5
SAlika	SAlika	noun	4
SAlin	Sal	noun	4
SAlipiRqa	SAlipiRqa	noun	2
SAlmalIPalaka	SAlmalIPalaka	noun	2
SAlmalim	SAlmali	noun	2
SAluqa	SAluqa	noun	2
SAlvaka	SAlvaka	noun	2
SAlvapate	SAlvapati	noun	2
SAlvapati	SAlvapati	noun	3
SAlvarAja	SAlvarAjan	noun	3
SAlvarAjasya	SAlvarAja	noun	2
SAlveyaka	SAlveyaka	noun	2
SAmulya	SAmulya	noun	2
SAntArcis	SAntArcis	noun	9
SAntAtmA	SAntAtman	noun	3
SAntAtman	SAntAtman	noun	3
SAntAtmane	SAntAtman	noun	3
SAntaguRe	SAntaguRa	noun	9
SAntahfdaya	SAntahfdaya	noun	2
SAntajvarA	SAntajvara	noun	1
SAntajvara	SAntajvara	noun	2
SAntamanasam	SAntamanas	noun	2
SAntanavAt	SAMtanava	noun	6
SAntanava	SAMtanava	noun	6
SAntanavam	SAMtanava	noun	9
SAntanavasya	SAMtanava	noun	6
SAntanave	SAMtanava	noun	27
SAntanu	SAMtanu	noun	3
SAntarajas	SAntarajas	noun	5
SAntarajasam	SAntarajas	noun	2
SAntatva	SAntatva	noun	2
SAntihoma	SAntihoma	noun	2
SAntikara	SAntikara	noun	4
SAntipura	SAntipura	noun	2
SAntistava	SAntistava	noun	2
SApAnta	SApAnta	noun	2
SApagrasta	SApagrasta	noun	2
SApajam	SApaja	noun	3
SApamokza	SApamokza	noun	2
SApamokzam	SApamokza	noun	3
SApayantrita	SApayantrita	noun	2
SApita	SApi	noun	4
SArNgaDanvan	SArNgaDanvan	noun	2
SArNgaka	SArNgaka	noun	2
SArNgapARi	SArNgapARi	noun	3
SArNgikA	SArNgikA	noun	3
SArNgin	SArNgin	noun	2
SAradaRqAyanI	SAradaRqAyanI	noun	8
SAradvatIputra	SAradvatIputra	noun	2
SAradvatIsuta	SAradvatIsuta	noun	2
SArdUlIm	SArdUlI	noun	2
SArdUlamfgasevitam	SArdUlamfgasevita	noun	3
SArdUlasamavikrama	SArdUlasamavikrama	noun	2
SArdUlasamavikramam	SArdUlasamavikrama	noun	3
SArva	SArva	noun	2
SAryAta	SAryAta	noun	4
SAsanA	SAsi	noun	9
SAsanahAriRA	SAsanahArin	noun	2
SAsatas	SAs	noun	7
SAsitAsmi	SAs	verb	1
SAsitar	SAs	noun	4
SAsitf	SAs	noun	12
SAstar	SAstf	noun	1
SAstrArTa	SAstrArTa	noun	2
SAstrIyARAm	SAstrIya	noun	3
SAstrIyasya	SAstrIya	noun	2
SAstrabudDi	SAstrabudDi	noun	3
SAstrabudDyA	SAstrabudDi	noun	1
SAstracakzus	SAstracakzus	noun	18
SAstracakzuzA	SAstracakzus	noun	6
SAstradarSana	SAstradarSana	noun	2
SAstradfzwa	SAstradfzwa	noun	2
SAstradfzwam	SAstradfzwa	noun	3
SAstradfzwena	SAstradfzwa	noun	2
SAstradfzwi	SAstradfzwi	noun	9
SAstradfzwyA	SAstradfzwi	noun	3
SAstrajYa	SAstrajYa	noun	2
SAstrakft	SAstrakft	noun	7
SAstrasAra	SAstrasAra	noun	2
SAstravat	SAstravat	noun	3
SAstraviDAna	SAstraviDAna	noun	2
SAstraviDAnokta	SAstraviDAnokta	noun	2
SAstraviDAnoktam	SAstraviDAnokta	noun	3
SAstraviDi	SAstraviDi	noun	3
SAstraviDim	SAstraviDi	noun	2
SAstravid	SAstravid	noun	7
SAstravit	SAstravid	noun	7
SAstrokta	SAstrokta	noun	2
SAtahrada	SAtahrada	noun	2
SAtakarRi	SAtakarRi	noun	3
SAtakumBamayAni	SAtakumBamaya	noun	3
SAtakumBamaya	SAtakumBamaya	noun	2
SAtavaneya	SAtavaneya	noun	2
SAyin	SAyi	noun	8
SAyitam	SAyi	noun	12
SIBa	SIB	noun	6
SIGrAstra	SIGrAstra	noun	2
SIGrAstram	SIGrAstra	noun	3
SIGrAstreRa	SIGrAstra	noun	2
SIGragA	SIGraga	noun	2
SIGragAm	SIGraga	noun	2
SIGragAmin	SIGragAmin	noun	2
SIGraga	SIGraga	noun	4
SIGrakArin	SIGrakArin	noun	2
SIGrasrotasam	SIGrasrotas	noun	2
SIGratA	SIGratA	noun	3
SIGratAm	SIGratA	noun	2
SIGratva	SIGratva	noun	2
SIGravega	SIGravega	noun	2
SIGravikrama	SIGravikrama	noun	2
SIGrayAna	SIGrayAna	noun	4
SIkarArdra	SIkarArdra	noun	2
SIlAQya	SIlAQya	noun	2
SIlajYAnaniDi	SIlajYAnaniDi	noun	3
SIlanam	SIli	noun	9
SIlasampanna	SIlasampanna	noun	2
SIlatA	SIlatA	noun	3
SIlatas	SIl	noun	5
SIlavarjita	SIlavarjita	noun	2
SIlavarjite	SIlavarjita	noun	9
SIlavfdDa	SIlavfdDa	noun	2
SIlavfttAByAm	SIlavftta	noun	18
SIlavftta	SIlavftta	noun	4
SIlavfttam	SIlavftta	noun	6
SIlavfttena	SIlavftta	noun	4
SIlavilaya	SIlavilaya	noun	2
SIlin	SIli	noun	6
SIrRadanta	SIrRadanta	noun	2
SIrRamUla	SIrRamUla	noun	2
SIrRaparRa	SIrRaparRa	noun	6
SIras	SIra	noun	2
SIrzAmaya	SIrzAmaya	noun	2
SIrzaBidyAya	SIrzaBidya	noun	2
SIrzaSoka	SIrzaSoka	noun	2
SIrzacCedya	SIrzacCedya	noun	2
SIrzakapAla	SIrzakapAla	noun	2
SIrzakapAle	SIrzakapAla	noun	9
SIrzakti	SIrzakti	noun	3
SItArtA	SItArta	noun	1
SItahradA	SItahrada	noun	1
SItakriyAm	SItakriyA	noun	2
SItasparSa	SItasparSa	noun	4
SItatvam	SItatva	noun	3
SItavIrya	SItavIrya	noun	2
SItozRa	SItozRa	noun	4
SUdrAputra	SUdrAputra	noun	2
SUdrAsuta	SUdrAsuta	noun	2
SUdrAvedin	SUdrAvedin	noun	2
SUdrahA	SUdrahan	noun	1
SUdrakfta	SUdrakfta	noun	2
SUdrarAjya	SUdrarAjya	noun	2
SUdrasevana	SUdrasevana	noun	2
SUdratA	SUdratA	noun	3
SUdrata	SUdratA	noun	3
SUdratva	SUdratva	noun	2
SUdravftti	SUdravftti	noun	3
SUdrayAjaka	SUdrayAjaka	noun	2
SUdrayoni	SUdrayoni	noun	3
SUlAgra	SUlAgra	noun	4
SUlAgreRa	SUlAgra	noun	4
SUlaDaram	SUlaDara	noun	3
SUlahasta	SUlahasta	noun	4
SUlahastena	SUlahasta	noun	4
SUlamudgarahasta	SUlamudgarahasta	noun	2
SUlamudgarahastayA	SUlamudgarahasta	noun	1
SUlapARin	SUlapARin	noun	4
SUlasTa	SUlasTa	noun	2
SUlavara	SUlavara	noun	2
SUlin	SUl	noun	2
SUnyAlaye	SUnyAlaya	noun	9
SUnyageha	SUnyageha	noun	2
SUnyapAlam	SUnyapAla	noun	3
SUnyavat	SUnyavat	ind	1
SUramAnI	SUramAnin	noun	1
SUramAnin	SUramAnin	noun	2
SUrapatnI	SUrapatnI	noun	8
SUraputrA	SUraputrA	noun	3
SUraputrAm	SUraputrA	noun	2
SUraputra	SUraputrA	noun	3
SUrasAti	SUrasAti	noun	3
SUrasenAnAm	SUrasena	noun	3
SUratama	SUratama	noun	2
SUratara	SUratara	noun	2
SUravIra	SUravIra	noun	4
SUrpAraka	SUrpAraka	noun	4
SUrpaka	SUrpi	noun	8
SUzya	SUz	noun	2
SaMSanti	SaMSamya	noun	12
SaMsaDvam	SaMs	verb	1
SaMsat	SaMs	noun	3
SaNKAs	SaNKa	noun	10
SaNKaDavala	SaNKaDavalA	noun	3
SaNKaDma	SaNKaDma	noun	2
SaNKaRa	SaNKaRa	noun	2
SaNKaRam	SaNKaRa	noun	3
SaNKaSIrza	SaNKaSIrza	noun	2
SaNKaSiras	SaNKaSiras	noun	5
SaNKacakragadADara	SaNKacakragadADara	noun	2
SaNKameKala	SaNKameKala	noun	2
SaNKanaka	SaNKanaka	noun	2
SaNKapAtra	SaNKapAtra	noun	2
SaNKapraRAda	SaNKapraRAda	noun	2
SaNKapravara	SaNKapravara	noun	2
SaNKapura	SaNKapura	noun	2
SaNKasvanA	SaNKasvana	noun	1
SaNKasvana	SaNKasvana	noun	2
SaNKatIrTa	SaNKatIrTa	noun	2
SaNkAnvita	SaNkAnvita	noun	2
SaNkAspfzwa	SaNkAspfzwa	noun	2
SaNkamAna	SaNk	noun	4
SaNkamAnam	SaNk	noun	6
SaNkanIyAm	SaNk	noun	1
SaNkanIya	SaNk	noun	2
SaNkarARi	SaMkara	noun	6
SaNkaraSvaSura	SaMkaraSvaSura	noun	2
SaNkitavya	SaNk	noun	2
SaNkukarRe	SaNkukarRa	noun	18
SaPAnAm	SaPa	noun	6
SaPArujam	SaPAruj	noun	2
SaRasUtra	SaRasUtra	noun	2
SaRavalka	SaRavalka	noun	2
SaRqikAnAm	SaRqika	noun	3
SaSANkArDamuKena	SaSANkArDamuKa	noun	2
SaSabindum	SaSabindu	noun	2
SaSakAn	SaS	noun	1
SaSalakzaRa	SaSalakzaRa	noun	2
SaSamAna	SaS	noun	2
SaSaplutaka	SaSaplutaka	noun	2
SaSas	SaS	noun	14
SaSatA	SaS	noun	2
SaSayAna	SaSayAna	noun	4
SaSayam	SaSaya	noun	3
SaSidivAkara	SaSidivAkara	noun	2
SaSimaRqala	SaSimaRqala	noun	2
SaSimaRqalam	SaSimaRqala	noun	3
SaSimuKIm	SaSimuKI	noun	2
SaSin	SaSin	noun	2
SaSipraBa	SaSipraBa	noun	4
SaSisanniBam	SaSisaMniBa	noun	3
SaSivat	SE	noun	3
SaSramARa	Sram	noun	2
SaSvacCAnti	SaSvacCAnti	noun	3
SaSvacCAntim	SaSvacCAnti	noun	2
SaSvattama	SaSvattama	noun	2
SaWatAm	SaW	noun	2
SaWodarkam	SaWodarka	noun	3
Sabarakanda	Sabarakanda	noun	2
SabaryAm	SabarI	noun	2
SabdAKyeya	SabdAKyeya	noun	2
SabdAdIn	SabdAdi	noun	1
SabdAdi	SabdAdi	noun	3
SabdAkzara	SabdAkzara	noun	2
SabdArTasya	SabdArTa	noun	2
Sabdabrahman	Sabdabrahman	noun	3
SabdalakzaRa	SabdalakzaRa	noun	2
SabdalakzaRam	SabdalakzaRa	noun	3
SabdamAtra	SabdamAtra	noun	2
SabdapAtinam	SabdapAtin	noun	1
SabdarUpa	SabdarUpa	noun	4
SabdasADana	SabdasADana	noun	2
SabdasAha	SabdasAha	noun	2
SabdatanmAtra	SabdatanmAtra	noun	2
SabdatanmAtreRa	SabdatanmAtra	noun	2
SabdaveDin	SabdaveDin	noun	2
SabdaviSeza	SabdaviSeza	noun	2
SacIvan	SacIvat	noun	1
SacIvasU	SacIvasu	noun	6
SacIvaso	SacIvasu	noun	2
SacIvat	SacIvat	noun	3
Sagmya	Sagmya	noun	2
Sak	Sak	noun	14
SakaDUmaja	SakaDUmaja	noun	2
Sakalyezi	Sakalyezin	noun	3
Sakamaya	Sakamaya	noun	2
Sakamayam	Sakamaya	noun	3
SakapUta	SakapUta	noun	2
SakawavyUha	SakawavyUha	noun	2
SakfnmUtra	SakfnmUtra	noun	2
SakfnmUtre	SakfnmUtra	noun	9
Sakita	Sak	noun	2
SakrAsane	SakrAsana	noun	9
SakrAvarta	SakrAvarta	noun	2
SakraDvaja	SakraDvaja	noun	2
SakraDvajam	SakraDvaja	noun	3
SakracApena	SakracApa	noun	2
SakradevatA	SakradevatA	noun	3
SakralokAn	Sakraloka	noun	1
Sakraloka	Sakraloka	noun	2
SakralokaBAk	SakralokaBAj	noun	7
Sakralokam	Sakraloka	noun	3
SakraprasTa	SakraprasTa	noun	2
SakrarUpa	SakrarUpa	noun	2
SakrasAraTi	SakrasAraTi	noun	3
Sakrasuta	Sakrasuta	noun	2
Sakratva	Sakratva	noun	2
SakravApin	SakravApin	noun	2
Sakrotsava	Sakrotsava	noun	2
SaktIvan	SaktIvat	noun	1
SaktiDfk	SaktiDfk	noun	7
SaktihIna	SaktihIna	noun	2
Saktihastam	Saktihasta	noun	3
SaktimattvAt	Saktimattva	noun	2
SaktimokzAya	Saktimokza	noun	2
Saktin	Saktin	noun	4
Saktita	SaktitA	noun	3
Saktitantrezu	Saktitantra	noun	2
Saktivizaya	Saktivizaya	noun	2
Sakunigraha	Sakunigraha	noun	2
Sakunika	SakunikA	noun	3
SalAkaDUrta	SalAkaDUrta	noun	2
Salakara	Salakara	noun	2
Salalita	Salalita	noun	2
Salunam	Saluna	noun	3
Salva	Salva	noun	2
SalyaBUta	SalyaBUta	noun	2
Salyakartf	Salyakartf	noun	3
SalyodDaraRa	SalyodDaraRa	noun	2
SamAnvita	SamAnvita	noun	2
SamAtmaka	SamAtmaka	noun	2
SamBavizWa	SamBavizWa	noun	2
Samapara	Samapara	noun	2
SamapraDAna	SamapraDAna	noun	2
SamasuKa	SamasuKa	noun	2
SamasuKam	SamasuKa	noun	3
SamavihAra	SamavihAra	noun	2
Sambaka	Sambi	noun	8
Sambarahan	Sambarahan	noun	2
Sambarahatya	Sambarahatya	noun	2
Samepsu	Samepsu	noun	3
Samitam	SAmi	noun	6
SamyAkzepa	SamyAkzepa	noun	2
SamyAnipAtezu	SamyAnipAta	noun	2
SamyApAta	SamyApAta	noun	2
SantamayA	SaMtama	noun	1
Santano	SaMtanu	noun	4
Santanu	SaMtanu	noun	6
SantayA	Santa	noun	1
Santiva	Santiva	noun	2
SapaTya	SapaTya	noun	2
SapamAna	Sap	noun	4
SapantI	Sap	noun	4
Sapeya	Sap	verb	1
Sapeyam	Sap	verb	1
SaptavatI	Sap	noun	8
Saptf	Sap	noun	12
Sar	Sarv	noun	7
SarAGAta	SarAGAta	noun	2
SarAhata	SarAhata	noun	2
SarArcis	SarArcis	noun	9
SarArcizA	SarArcis	noun	3
SarAsanaDara	SarAsanaDara	noun	2
SarAsanajyAm	SarAsanajyA	noun	2
SarAvApa	SarAvApa	noun	2
SarAvApam	SarAvApa	noun	3
SarAvatyAm	SarAvatI	noun	2
SarDas	SarDi	noun	42
SarDat	SfD	noun	6
SarDayata	SarDi	verb	3
SarIrAntakara	SarIrAntakara	noun	2
SarIrAntara	SarIrAntara	noun	2
SarIrAntaracArin	SarIrAntaracArin	noun	2
SarIrArDa	SarIrArDa	noun	2
SarIrAvayavAn	SarIrAvayava	noun	1
SarIrAvayava	SarIrAvayava	noun	2
SarIraBedAt	SarIraBeda	noun	2
SarIraBeda	SarIraBeda	noun	2
SarIraBft	SarIraBft	noun	7
SarIraSuSrUzA	SarIraSuSrUzA	noun	3
SarIrabanDena	SarIrabanDa	noun	2
SarIragrahaRa	SarIragrahaRa	noun	2
SarIrakartf	SarIrakartf	noun	3
SarIrakarzaRa	SarIrakarzaRa	noun	2
SarIramAtra	SarIramAtra	noun	2
SarIrapIqA	SarIrapIqA	noun	3
SarIrarakzA	SarIrarakzA	noun	3
SarIrasAdAd	SarIrasAda	noun	2
SarIrasTa	SarIrasTa	noun	2
SarIrasTam	SarIrasTa	noun	3
SarIrasTena	SarIrasTa	noun	2
SarIrasaMskAra	SarIrasaMskAra	noun	4
SarIratA	SarIratA	noun	3
SarIratva	SarIratva	noun	2
SarIravftti	SarIravftti	noun	3
SarIrayAtrA	SarIrayAtrA	noun	3
SarIrayoga	SarIrayoga	noun	2
SarIrin	SarIrin	noun	4
SaraBfzwi	SaraBfzwi	noun	3
SaraGAta	SaraGAta	noun	2
SaraRAgatA	SaraRAgata	noun	1
SaraRAgatAm	SaraRAgata	noun	1
SaraRAgata	SaraRAgata	noun	2
SaraRAgatahantf	SaraRAgatahantf	noun	3
SaraRApanna	SaraRApanna	noun	2
SaraRArTam	SaraRArTam	ind	1
SaraRArTin	SaraRArTin	noun	2
SaraRArTinAm	SaraRArTin	noun	2
SaraRArTinI	SaraRArTin	noun	4
SaraRaprada	SaraRaprada	noun	2
SaraRi	SaraRi	noun	3
SaraRyAnAm	SaraRya	noun	9
Sarabarhis	Sarabarhis	noun	9
Saraccandra	Saraccandra	noun	2
SaradGana	SaradGana	noun	2
SaradI	Sarad	noun	3
SaradaRqA	SaradaRqA	noun	3
SaradaRqAm	SaradaRqA	noun	2
Saradanta	Saradanta	noun	2
Saradvan	Saradvat	noun	2
Saragocara	Saragocara	noun	2
SarajAlAni	SarajAla	noun	3
SarajAla	SarajAla	noun	2
SarajAlam	SarajAla	noun	3
SarajAlena	SarajAla	noun	2
Sarajanman	Sarajanman	noun	3
Saramaya	Saramaya	noun	2
SaranmeGAn	SaranmeGa	noun	1
SaranmuKa	SaranmuKa	noun	2
SarapAta	SarapAta	noun	2
Sarapravega	Sarapravega	noun	2
SarasambADa	SarasambADa	noun	2
Sarastamba	Sarastamba	noun	2
SaratkAla	SaratkAla	noun	2
SaratkAle	SaratkAla	noun	9
Saratpayoda	Saratpayoda	noun	2
SaravaRAlaya	SaravaRAlaya	noun	2
SaravarzAByAm	Saravarza	noun	9
SaravarzARi	Saravarza	noun	3
Saravarza	Saravarza	noun	2
Saravarzam	Saravarza	noun	3
SaravarzeRa	Saravarza	noun	2
Saravarzin	Saravarzin	noun	2
Saravat	Saravat	noun	3
Saravfzwi	Saravfzwi	noun	6
Saravfzwim	Saravfzwi	noun	4
SaravrAtAn	SaravrAta	noun	1
SaravrAta	SaravrAta	noun	2
Saravya	Saravya	noun	4
SarkarAsava	SarkarAsava	noun	2
SarkarAvarzin	SarkarAvarzin	noun	2
Sarkaravarzin	Sarkaravarzin	noun	2
SarkarikA	SarkarikA	noun	3
Sarku	Sarku	noun	3
SarmadAtA	SarmadAtf	noun	1
Sarmaka	Sarmaka	noun	2
Sarmavat	Sarmavat	noun	3
Sarottama	Sarottama	noun	2
Saru	Saru	noun	3
Sarvari	SarvarI	noun	5
Sarya	Sarya	noun	6
SaryaRAvat	SaryaRAvat	noun	3
Sasana	Sas	noun	2
Sastf	Sastf	noun	3
SastraDAraRam	SastraDAraRa	noun	3
Sastrahatena	Sastrahata	noun	2
SastrajIvin	SastrajIvin	noun	4
SastranipAta	SastranipAta	noun	2
SastrapARi	SastrapARi	noun	6
SastrapAta	SastrapAta	noun	2
SastrapUtAm	SastrapUta	noun	1
SastrapUta	SastrapUta	noun	2
SastrasampAta	SastrasampAta	noun	2
Sastravat	Sastravat	noun	3
Sastravftti	Sastravftti	noun	3
Sastravikrayin	Sastravikrayin	noun	2
SatADikA	SatADika	noun	1
SatANga	SatANga	noun	4
SatAnIkA	SatAnIka	noun	2
SatApAzWA	SatApAzWa	noun	1
SatArDAra	SatArDAra	noun	2
SatAritra	SatAritra	noun	2
SatAtmA	SatAtman	noun	3
SatAtman	SatAtman	noun	3
SatAvarAn	SatAvara	noun	1
SatAvara	SatAvara	noun	2
SatAvartam	SatAvarta	noun	6
SatAvaya	SatAvaya	noun	2
SatAyu	SatAyu	noun	3
SatAyus	SatAyus	noun	27
SatAyuta	SatAyutA	noun	3
SataBuji	SataBuji	noun	3
SataDArA	SataDAra	noun	2
SataDAra	SataDAra	noun	4
SataDanvan	SataDanvan	noun	4
SataDanya	SataDanya	noun	2
SataGaRwAm	SataGaRwA	noun	2
SataGni	SataGnI	noun	5
SataSAKA	SataSAKa	noun	1
SataSAKa	SataSAKa	noun	2
SataSAKam	SataSAKa	noun	3
SataSAradAya	SataSArada	noun	4
SataSArada	SataSArada	noun	4
SataSIrza	SataSIrza	noun	4
SataSalAka	SataSalAkA	noun	3
SataSalya	SataSalya	noun	2
SatabraDna	SatabraDna	noun	2
Satacakra	Satacakra	noun	2
Satacandra	Satacandra	noun	4
Satacarman	Satacarman	noun	3
SatadAtu	SatadAtu	noun	3
SatadAvni	SatadAvan	noun	2
SatadAya	Satada	noun	2
SatadaRqArha	SatadaRqArha	noun	2
SatadakziRa	SatadakziRa	noun	2
Satadurezu	Satadura	noun	2
SatadvArA	SatadvAra	noun	3
SatadvAra	SatadvAra	noun	6
Satadvasum	Satadvasu	noun	2
Satagu	Satagu	noun	3
Satagvin	Satagvin	noun	2
SatahAyana	SatahAyana	noun	2
Satahasta	Satahasta	noun	2
SatahimA	Satahima	noun	1
Satahima	Satahima	noun	2
Satahrada	SatahradA	noun	3
Sataka	Sataka	noun	6
SatakratU	Satakratu	noun	12
Satalocana	Satalocana	noun	4
SatamAya	SatamAya	noun	2
SatamUti	SatamUti	noun	3
SatamuKa	SatamuKa	noun	6
SatanITa	SatanITa	noun	2
SatanITam	SatanITa	noun	3
SatapAtin	SatapAtin	noun	2
Sataparvan	Sataparvan	noun	6
Satapavitra	Satapavitra	noun	2
SataputratA	SataputratA	noun	3
SataraTa	SataraTa	noun	2
Satarudriya	Satarudriya	noun	4
SatasA	SatasA	noun	2
SatasAhasra	SatasAhasra	noun	4
SatasaNKya	SatasaMKya	noun	4
SatasahasrAMSu	SatasahasrAMSu	noun	3
SatasahasraDA	SatasahasraDA	ind	1
SatasahasraSas	SatasahasraSas	ind	1
Satasahasraka	Satasahasraka	noun	4
Satasahasrasya	Satasahasra	noun	2
SatasahasreRa	Satasahasra	noun	2
SataseyAya	Sataseya	noun	2
Satatama	Satatama	noun	2
Satatarha	Satatarha	noun	2
Satatraya	Satatraya	noun	2
Satatrayam	Satatraya	noun	3
SatavAja	SatavAja	noun	2
SatavAjayA	SatavAja	noun	1
SatavAra	SatavAra	noun	2
SatavIrya	SatavIrya	noun	4
SatavaDA	SatavaDa	noun	1
SatavaDa	SatavaDa	noun	2
Satavaktra	Satavaktra	noun	2
SatavalSA	SatavalSa	noun	1
SatavalSa	SatavalSa	noun	2
Satavarza	Satavarza	noun	4
SatavfzRya	SatavfzRya	noun	2
SatavicakzaRa	SatavicakzaRa	noun	2
SatavrajA	Satavraja	noun	1
SatayAjam	SatayAjam	ind	1
SatayAmnA	SatayAman	noun	3
SatayojanAnAm	Satayojana	noun	3
Satayojana	Satayojana	noun	2
Satayojanam	Satayojana	noun	3
Satayoni	Satayoni	noun	3
Satin	Satin	noun	2
Satodara	Satodara	noun	4
Satoti	Satoti	noun	3
Satri	Satri	noun	3
SatruGAtin	SatruGAtin	noun	2
SatruGnAn	SatruGna	noun	3
SatruYjayA	SatruMjayA	noun	3
SatruYjaya	SatruMjayA	noun	3
SatruYjayam	SatruMjaya	noun	3
SatrubADaka	SatrubADaka	noun	2
Satrudamana	Satrudamana	noun	2
Satruha	Satruhan	noun	6
Satrujana	Satrujana	noun	2
SatrukarSana	SatrukarSana	noun	2
SatrukarzaRa	SatrukarzaRa	noun	2
Satrukula	Satrukula	noun	2
