k1	hom	pwg_members	index_members	vs_index_class	length_bucket	freq_bucket	freq_count	panini_sutras	deriv_base	deriv_suffix	ganas
durvftta	1	duz + vftta	dur + vftta	same_count_diff_split	short(<=8)	high(>=10)	63	P.4.14.7|P.10.44.32|P.22.3			
ADArarUpA		ADAra + rUpa	ADAra + rUpA	same_count_diff_split	medium(9-10)	low(1-2)	1				
gOrIpuzpa		gOrI + puspa	gOrI + puzpa	same_count_diff_split	medium(9-10)	no_dcs_freq					
bahumAya		bahu + mAyA	bahu + mAya	same_count_diff_split	short(<=8)	no_dcs_freq					
gatanAsika		gata + nAsikA	gata + nAsika	same_count_diff_split	medium(9-10)	no_dcs_freq					
mfzArTaka		mfzA + arTa	mfzA + rTa + ka	member_count_diff	medium(9-10)	no_dcs_freq					
paYcapada		paYcan + pada	paYca + pada	same_count_diff_split	medium(9-10)	no_dcs_freq					
payoda		payas + da	payo + da	same_count_diff_split	short(<=8)	high(>=10)	34				
nfsena		nar + senA	nf + sena	same_count_diff_split	short(<=8)	no_dcs_freq					
nirASin		nis + ASA	nir + ASin	same_count_diff_split	short(<=8)	no_dcs_freq					
satkriya		sant + kriyA	sat + kriya	same_count_diff_split	short(<=8)	no_dcs_freq					
suKaduHKamaya		suKa + duHKa	suKa + duHKa + maya	member_count_diff	long(>=11)	no_dcs_freq					
dvAdaSaviDa		dvAdaSan + viDA	dvAdaSa + viDa	same_count_diff_split	long(>=11)	mid(3-9)	4				
satPala		sant + Pala	sat + Pala	same_count_diff_split	short(<=8)	no_dcs_freq					
yaTArTatas		yaTA + arTa	yaTA + rTa + tas	member_count_diff	medium(9-10)	no_dcs_freq					
gozAti		go + sAti	go + zAti	same_count_diff_split	short(<=8)	low(1-2)	2				
gaRqUpada		gaRqu + pada	gaRqU + pada	same_count_diff_split	medium(9-10)	high(>=10)	19				
marmaspfS		marman + spfS	marma + spfS	same_count_diff_split	medium(9-10)	no_dcs_freq					
raktapittahA		raktapitta + hA	rakta + pitta + hA	member_count_diff	long(>=11)	no_dcs_freq					
devacCanda		deva + Canda	deva + cCanda	same_count_diff_split	medium(9-10)	low(1-2)	1				
duHsTita		duz + sTita	duH + sTita	same_count_diff_split	short(<=8)	high(>=10)	12	P.1.5.14			
bfhanmanas		bfhant + manas	bfhan + manas	same_count_diff_split	medium(9-10)	mid(3-9)	8	P.9.23.11			
tatpada		tad + pada	tat + pada	same_count_diff_split	short(<=8)	low(1-2)	1				
dAtfpura		dAtar + pura	dAtf + pura	same_count_diff_split	short(<=8)	no_dcs_freq					
pakzimfgatA		pakzin + mfga	pakzi + mfgatA	same_count_diff_split	long(>=11)	no_dcs_freq					
DarmameGA		Darma + meGa	Darma + meGA	same_count_diff_split	medium(9-10)	mid(3-9)	3				
DAmakeSin		DAman + keSa	DAma + keSin	same_count_diff_split	medium(9-10)	no_dcs_freq					
kiMvid		kim + vid	kiM + vid	same_count_diff_split	short(<=8)	no_dcs_freq					
viSAKa		vi + SAKA	vi + SAKa	same_count_diff_split	short(<=8)	high(>=10)	50	P.1.2.62|P.4.3.34|P.6.6.14|P.7.3.21|P.33.12|P.58.33			
nirgarva		nis + garva	nir + garva	same_count_diff_split	short(<=8)	no_dcs_freq					
bahutvakka		bahu + tvac	bahu + tvakka	same_count_diff_split	medium(9-10)	no_dcs_freq					
turaRyasad		turaRy + sad	turaRya + sad	same_count_diff_split	medium(9-10)	low(1-2)	1				
bfhatkAya		bfhant + kAya	bfhat + kAya	same_count_diff_split	medium(9-10)	no_dcs_freq		P.9.21.22			
uzmasveda		uzman + sveda	uzma + sveda	same_count_diff_split	medium(9-10)	no_dcs_freq					
nirajina		nis + ajina	nir + ajina	same_count_diff_split	short(<=8)	no_dcs_freq		P.6.2.184			nirudakAdiH
jvAlAjihva		jvAlA + jihvA	jvAlA + jihva	same_count_diff_split	medium(9-10)	mid(3-9)	3				
girizad		giri + sad	giri + zad	same_count_diff_split	short(<=8)	no_dcs_freq					
trayodaSaviDa		trayodaSan + viDA	trayo + daSa + viDa	member_count_diff	long(>=11)	high(>=10)	19				
aBimAtizAha		aBimAti + sAha	aBimAti + zAha	same_count_diff_split	long(>=11)	mid(3-9)	4				
parauru		paras + uru	para + uru	same_count_diff_split	short(<=8)	no_dcs_freq					
kAlarUpin		kAla + rUpa	kAla + rUpin	same_count_diff_split	medium(9-10)	mid(3-9)	3				
putraSfNgI		putra + SfNga	putra + SfNgI	same_count_diff_split	medium(9-10)	no_dcs_freq					
pIvoaSva		pIvas + aSva	pIvo + aSva	same_count_diff_split	short(<=8)	no_dcs_freq					
tryaMSa		tri + aMSa	try + aMSa	same_count_diff_split	short(<=8)	low(1-2)	2				
gozWAgAra		gozWa + AgAra	go + zWAgAra	same_count_diff_split	medium(9-10)	no_dcs_freq					
vipAdikA		vi + pAda	vi + pAdikA	same_count_diff_split	short(<=8)	high(>=10)	11	P.1.3.20			jyotsnAdiH
tryASir		tri + ASir	try + ASir	same_count_diff_split	short(<=8)	no_dcs_freq					
udaksena		udaYc + senA	udak + sena	same_count_diff_split	short(<=8)	low(1-2)	2				
BUtapattrI		BUta + pattra	BUta + pattrI	same_count_diff_split	medium(9-10)	no_dcs_freq					
alaMjuza		alam + juza	alaM + juza	same_count_diff_split	short(<=8)	no_dcs_freq					
tantuBa		tantu + BA	tantu + Ba	same_count_diff_split	short(<=8)	low(1-2)	1				
gotrapawa		gotra + pawa	go + tra + pawa	member_count_diff	medium(9-10)	no_dcs_freq					
sarvacarmIRa		sarva + carman	sarva + carmIRa	same_count_diff_split	long(>=11)	no_dcs_freq		P.5.2.5			
manaApa		manas + Apa	mana + Apa	same_count_diff_split	short(<=8)	mid(3-9)	3				
sanmati	1	sant + mati	san + mati	same_count_diff_split	short(<=8)	mid(3-9)	4	P.8.24.47|P.9.4.27			
saGfRa		sa + GfRA	sa + GfRa	same_count_diff_split	short(<=8)	no_dcs_freq		P.5.5.17			
paYcavarga	2	paYcan + varga	paYca + varga	same_count_diff_split	medium(9-10)	high(>=10)	10				
