repo	commit	path	kind	loc	contour	live_edge	disposition	evidence
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/E1_deepseek_vs_c4/e1_build_slice.py	source	55	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/E1_deepseek_vs_c4/e1_check_inputs.py	source	42	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/E1_deepseek_vs_c4/e1_find_inputs.py	source	41	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/E1_deepseek_vs_c4/e1_gen_inputs.py	source	34	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/H2674_w0_stream/run_canary.py	source	120	4	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/H2675_w1_prep/build_drain_head.py	source	263	6	import-depth-2	reviewed	RussianTranslation/src/pilot/cache_prep_census.py:251 import build_drain_head
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/H2675_w1_prep/run_prep_live.py	source	339	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/H2676_v4pro_q3_rematch/build_slice.py	source	72	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/H2676_v4pro_q3_rematch/summarize_run.py	source	106	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/pwg_cache_economy/h2703_generation/build_report.py	source	143	2	import-depth-1	reviewed	RussianTranslation/src/pilot/window_selftest.py:49 import prompt_rule_audit.build_report | RussianTranslation/src/pilot/audit_window.py:38 import prompt_rule_audit.build_report
SanskritLexicography	af58b3b01836	RussianTranslation/experiments/pwg_cache_economy/h2756_flash/build_report.py	source	157	2	import-depth-1	reviewed	RussianTranslation/src/pilot/window_selftest.py:49 import prompt_rule_audit.build_report | RussianTranslation/src/pilot/audit_window.py:38 import prompt_rule_audit.build_report
SanskritLexicography	af58b3b01836	RussianTranslation/src/_audit.py	source	145	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_audit_micro.py	source	78	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_build_agni_ru.py	source	169	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_build_corpus_ru.py	source	84	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_build_persense_ru.py	source	178	6	entrypoint	reviewed	RussianTranslation/.ai_state.md:3997 | RussianTranslation/.ai_state.md:3997
SanskritLexicography	af58b3b01836	RussianTranslation/src/_build_skeletons_ru.py	source	281	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_build_tables.py	source	122	6	entrypoint	reviewed	RussianTranslation/.ai_state.md:6045
SanskritLexicography	af58b3b01836	RussianTranslation/src/_ls_extract.py	source	64	6	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_nws_audit.py	source	113	1	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_nws_defect_list.py	source	144	1	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_nws_defect_scan.py	source	72	1	none	not-applicable	no proven live edge from a PWG-translation entrypoint
SanskritLexicography	af58b3b01836	RussianTranslation/src/_nws_drift.py	source	121	1	none	not-applicable	no proven live edge from a PWG-translation entrypoint
