k1	hom	lex	accented	index_token	stem_class	compound_members	irregularities
a	2	f.	a	f·1	a-stem		
a	5	m.	a	m·1	a-stem		
afRin		adj.	afRin	mfn·8i	consonant-stem		tri_gender_adj
aMSa	1	m.	a/MSa	m·1a	a-stem		
aMSa	2	m.n.	aMSa	mn·1	a-stem		m_n_common
aMSaka	1	m.	aMSaka	m·1	a-stem		
aMSaka	2	n.	aMSaka	n·1	a-stem		
aMSaka	3	f.	aMSaka	f·1	a-stem		
aMSakaraRa		n.	aMSakaraRa	n·1+2	a-stem	aMSa+karaRa	compound:2_members
aMSala		adj.	aMSala	mfn·1	a-stem		tri_gender_adj
aMSahara		adj.	aMSahara/	mfn·1b+2	a-stem	aMSa+hara	compound:2_members;tri_gender_adj
aMSAvataraRa		n.	aMSAvataraRa	n·1	a-stem		
aMSu		m.	aMSu/	m·5b	u-stem		
aMSuka		n.	aMSuka/	n·1b	a-stem		
aMSuDara		m.	aMSuDara	m·1+2	a-stem	aMSu+Dara	compound:2_members
aMSupawwa		n.	aMSupawwa	n·1+2	a-stem	aMSu+pawwa	compound:2_members
aMSupati		m.	aMSupati	m·3+2	i-stem	aMSu+pati	compound:2_members
aMSumatI		adj.	aMSuma/tI	mfn·4a+2	ī-stem	aMSu+matI	compound:2_members;tri_gender_adj
aMSumatPalA		f.	aMSumatPalA	f·2+2	ā-stem	aMSu+matPalA	compound:2_members;ā_stem_f(§364)
aMSumant	1	adj.	aMSuma/nt	mfn·8td*	consonant-stem		tri_gender_adj
aMSumant	2	adj.	aMSumant	mfn·8t*	consonant-stem		tri_gender_adj
aMSumAlA		f.	aMSumAlA	f·2+2	ā-stem	aMSu+mAlA	compound:2_members;ā_stem_f(§364)
aMSumAlin		m.	aMSumAlin	m·8i+2	consonant-stem	aMSu+mAlin	compound:2_members
aMSula		m.	aMSula	m·1	a-stem		
aMSuhasta		m.	aMSuhasta	m·1+2	a-stem	aMSu+hasta	compound:2_members
aMsa	1	m.	aMsa	m·1	a-stem		
aMsa	2	m.n.	a/Msa	mn·1a	a-stem		m_n_common
aMsakUwa		m.	aMsakUwa	m·1+2	a-stem	aMsa+kUwa	compound:2_members
aMsatra		n.	a/Msatra	n·1a+2	a-stem	aMsa+tra	compound:2_members
aMsatrakoSa		adj.	a/MsatrakoSa	mfn·1a+3	a-stem	aMsa+tra+koSa	compound:3_members;tri_gender_adj
aMsaDrI		f.	aMsaDrI/	f·4a+2	ī-stem	aMsa+DrI	compound:2_members
aMsaBAra		m.	aMsaBAra	m·1+2	a-stem	aMsa+BAra	compound:2_members
aMsaBArika		adj.	a/MsaBArika	mfn·1a	a-stem		tri_gender_adj
