slp1	hom	sense_id	gloss_de	ls_loci
nAgadanta		1	1〉 m	
nAgadanta		1a	a〉 Elephantenzahn, Elfenbein H. an. 4,111 . MED. t. 203 . MBH. 12,3630	H. an. 4,111;MED. t. 203;MBH. 12,3630
nAgadanta		1b	b〉 Pflock in der Wand zum Anhängen von Sachen H. 1011 . H. an. MED. PAÑCAT. 116,19 . 252,10	H. 1011;H. an;MED;PAÑCAT. 116,19;PAÑCAT 252,10
nAgadanta		2	2〉 f. ( adj. comp. ) N. pr. einer Apsaras R. 2,91,17	R. 2,91,17
nAgadanta		3	3〉 f. ( adj. comp. )	
nAgadanta		3a	a〉 N. einer Pflanze, Tiaridium indicum Lehm. H. an. MED. RATNAM. 35 . SUŚR. 1,138,12 . 2,62,6 . 102,9 . 284,8 . 387,16	H. an;MED;RATNAM. 35;SUŚR. 1,138,12;SUŚR 2,62,6;SUŚR. 2, 102,9;SUŚR. 2, 284,8;SUŚR. 2, 387,16
nAgadanta		3b	b〉 = MED. , welches ŚKDR. und WILS. hier durch Hure erklären: aber H. an. hat statt dessen eine best. Arzeneipflanze	MED;ŚKDR;WILS;H. an
nAgadanta		1	1〉	
nAgadanta		1b	b〉 KATHĀS. 76,24	KATHĀS. 76,24
nAgadantaka		1	1〉 m	
nAgadantaka		1a	a〉 Elfenbein VARĀH. BṚH. S. 52,62	VARĀH. BṚH. S. 52,62
nAgadantaka		1b	b〉 Pflock in der Wand zum Anhängen von Sachen AK. 3,4,31,238 . HIT. 27,12 . Schol. zu KĀTY. ŚR. 644,4	AK. 3,4,31,238;HIT. 27,12;KĀTY. ŚR. 644,4
nAgadantaka		2	2〉 f. N. einer Pflanze, Tragia involucrata L. RATNAM. 69	RATNAM. 69
A	1	1	1〉 oder wenn man sich auf Etwas besinnt Kār. im BHĀṢYA _zu_ P. 1,1,14 . AK. 3,4,32,1 . ( COL. 3,4,28,1 ). H. an. 7,1 . MED. avy. 3 (statt ist zu lesen). P. 1,1,14 , Sch. ( v. l. ) PRAB. 46 . 4 .⫽print	BHĀṢYA;P. 1,1,14;AK. 3,4,32,1;COL. 3,4,28,1;H. an. 7,1;MED. avy. 3;P. 1,1,14;PRAB. 46;PRAB 4
A	1	2	2〉 (aber nach COLEBR. ) diess. P. 1,1,14 , Sch	COLEBR;P. 1,1,14
A	1	3	3〉 MED	MED
A	1	4	4〉 MED. — ŚĀK. 44,12 und 85,15 , v. l. ist wohl ( s. u. ) für zu lesen; PRAB. 111,15 haben die Scholien gleichfalls st. . — Die Interjection geht nach P. 1,1,14 ( vgl. die Kār. dazu) keine euphonische	MED;ŚĀK. 44,12;ŚĀK 85,15;PRAB. 111,15;P. 1,1,14
A	2	1	1〉 adv	
A	2	1a	a〉 her, herzu: ṚV. 1,10,11 . 17,3 . AV. 3,4,5 . 6,35,1 . 18,4,49 . In dieser Bedeutung überaus häufig in Verbindung mit Verben der Bewegung	ṚV. 1,10,11;ṚV. 1, 17,3;AV. 3,4,5;AV 6,35,1;AV 18,4,49
A	2	1b	b〉 anreihend: dazu, ferner, auch, und: ṚV. 1,83,4 . 24,12 . 3,31,3 . 10,17,10 . 3,16,5 . 2,14,7 . 1,48,16 . 7,2 . 150,1 . 4,11,1 . 12,2	ṚV. 1,83,4;ṚV. 1, 24,12;ṚV 3,31,3;ṚV 10,17,10;ṚV 3,16,5;ṚV 2,14,7;ṚV 1,48,16;ṚV. 1, 7,2;ṚV. 1, 150,1;ṚV 4,11,1;ṚV. 4, 12,2
