k1	hom	homonym_precise	deriv_base	deriv_suffix	deriv_class	deriv_citation	panini_sutras	compound_members_pwg	compound_status	ganas	gana_sutras	gana_corroborated
a	2						P.1.1.14|P.1.1.43|P.1.2.69|P.2.1.60|P.2.2.6|P.2.2.24|P.3.3.112|P.3.25.37|P.4.1.57|P.5.1.119|P.5.1.121|P.5.4.71|P.6.1.116|P.6.1.132|P.6.2|P.6.2.2|P.6.2.155|P.6.2.159|P.6.2.160|P.6.2.161|P.6.2.172|P.6.2.173|P.6.3|P.6.3.73|P.7.3|P.7.3.70			cAdiH|svarAdiH	1.1.37|1.4.57	
a	5						P.1.1.14|P.1.1.43|P.1.2.69|P.2.1.60|P.2.2.6|P.2.2.24|P.3.3.112|P.3.25.37|P.4.1.57|P.5.1.119|P.5.1.121|P.5.4.71|P.6.1.116|P.6.1.132|P.6.2|P.6.2.2|P.6.2.155|P.6.2.159|P.6.2.160|P.6.2.161|P.6.2.172|P.6.2.173|P.6.3|P.6.3.73|P.7.3|P.7.3.70			cAdiH|svarAdiH	1.1.37|1.4.57	
afRin		1						a + fRin	pwg-new-fill			
aMSa	1									saNkASAdiH	4.2.80	
aMSa	2									saNkASAdiH	4.2.80	
aMSaka	1	1	aMSa	ka	уменьш./собират.	AK. 1,1,2,17	P.5.2.69					
aMSaka	2		aMSa	ka	уменьш./собират.	AK. 1,1,2,17	P.5.2.69					
aMSaka	3		aMSa	ka	уменьш./собират.	AK. 1,1,2,17	P.5.2.69					
aMSakaraRa		1						aMSa + karaRa	agrees			
aMSahara		1					P.3.2.9	aMSa + hara	agrees			
aMSAvataraRa		1						aMSa + avataraRa	pwg-new-fill			
aMSu										aMSvAdiH|fSyAdiH	4.2.80|6.2.193	
aMSuka		1	aMSu	ka	уменьш./собират.	SIDDH. K. 248,b, ult.						
aMSupawwa		1						aMSu + pawwa	agrees			
aMSumAlA		1						aMSu + mAlA	agrees			
aMSumAlin		1	aMSumAlA	in	поссессив	TRIK. 1,1,99			index-only			
aMsakUwa		1						aMsa + kUwa	agrees			
aMsatrakoSa		1						aMsatra + koSa	differs			
aMsaDrI		1						aMsa + DrI	agrees			
aMsaBAra		1						aMsa + BAra	agrees	BastrAdiH	4.4.16	
aMsaBArika		1	aMsaBAra	ika	относит./vṛddhi							
aMsala							P.5.2.98					
aMseBAra		1						aMsa + BAra	pwg-new-fill	BastrAdiH	4.4.16	
aMseBArika		1	aMseBAra	ika	относит./vṛddhi							
aMsya		1	aMsa	ya	относит./vṛddhi	ṚV. 1,191,7						
aMhas							P.6.3.31					
aMhasaspati		1						aMhas + pati	pwg-new-fill			
aMhuBeda		1						aMhu + Beda	pwg-new-fill			
aMhomuc		1						aMhas + muc	pwg-new-fill			
aMhriskanDa		1						aMhri + skanDa	agrees			
aka		1						a + ka	pwg-new-fill			
akaca		1						a + kaca	pwg-new-fill			
akanizWa		1						a + kanizWa	pwg-new-fill			
akanyA		1						a + kanyA	pwg-new-fill			
akapIvant		1						a + kapIvant	pwg-new-fill			
akampita		1						a + kampita	pwg-new-fill			
akaraRi		1					P.3.3.112	a + karaRi	pwg-new-fill			
akarA		1						a + kara	pwg-new-fill			
akaruRa		1						a + karuRa	pwg-new-fill			
akarkaSa		1						a + karkaSa	pwg-new-fill			
akarRa		1						a + karRa	pwg-new-fill			
akarman	1	1						a + karman	pwg-new-fill			
akarman	2	1						a + karman	pwg-new-fill			
akala		1						a + kalA	pwg-new-fill			
akalka		1						a + kalka	pwg-new-fill			
akalkatA		1	akalka	tA	абстракт	YĀJÑ. 3,313			index-only			
akalkana		1						a + kalkana	pwg-new-fill			
akalkA		1						a + kalka	pwg-new-fill			
akalpa		1						a + kalpa	pwg-new-fill			
akalmAza		1						a + kalmAza	pwg-new-fill			
akava		1						a + kava	pwg-new-fill			
akavaca		1						a + kavaca	pwg-new-fill			
akavAri		1						a + kavAri	pwg-new-fill			
akavi		1						a + kavi	pwg-new-fill			
akasmAt		1						a + kasmAt	pwg-new-fill	cArvAdiH|vinayAdiH	5.4.34|6.2.160	
akARqa		1						a + kARqa	pwg-new-fill			
akAma		1						a + kAma	pwg-new-fill			
akAmakarSana		1						a + kAmakarSana	differs			
akAmatas		1						a + kAmatas	differs			
akAmatA		1	akAma	tA	абстракт	M. 2,2			index-only			
akAmahata		1						a + kAmahata	differs			
akAya		1						a + kAya	pwg-new-fill			
akAra		1						a + kAra	agrees			
akAraRa		1						a + kAraRa	pwg-new-fill			
akArRavezwakika		1					P.6.2.155	a + kArRavezwakika	pwg-new-fill			
akArya		1					P.5.2.20	a + kArya	pwg-new-fill			
akAryakArin	1	1						a + kAryakArin	differs			
akAryakArin	2							a + kAryakArin	differs			
akAla		1						a + kAla	pwg-new-fill			
akAlajaladodaya		1						akAla + jaladodaya	agrees			
akAlameGodaya		1						akAla + meGodaya	agrees			
akAlavelA		1						akAla + velA	agrees			
akiMcana		1						a + kiMcana	pwg-new-fill	mayUravyaMsakAdiH|svargAdiH	2.1.72|5.1.111	
akiMcanatA		1	akiMcana	tA	абстракт	H. 81						
akitava		1						a + kitava	pwg-new-fill			
akutas		1						a + kutas	pwg-new-fill			
akutoBaya		1					P.1.12.28	akutas + Baya	differs			
akupya		1						a + kupya	pwg-new-fill			
akumAra		1						a + kumAra	pwg-new-fill			
akula		1						a + kula	pwg-new-fill			
akulatA		1	akula	tA	абстракт	M. 3,63			index-only			
akuSala		1						a + kuSala	pwg-new-fill			
akUpAra							P.5.18.30					
akUrca		1						a + kUrca	pwg-new-fill			
akfta	1	1					P.4.1.52	a + kfta	pwg-new-fill			
akfta	2	1					P.4.1.52	a + kfta	pwg-new-fill			
akftakAram							P.3.4.36		index-only			
akftavraRa		1						akfta + vraRa	agrees			
akfttaruc		1						a + kftta	differs			
akftya		1						a + kftya	pwg-new-fill			
akftsna		1						a + kftsna	pwg-new-fill			
akfSASva		1						a + kfSa	pwg-new-fill			
akfzIvala		1						a + kfzIvala	pwg-new-fill			
akfzwapacya		1						a + kfzwapacya	differs			
akfzRakarman		1						a + kfzRakarman	pwg-new-fill			
aketu		1						a + ketu	pwg-new-fill			
akeSa		1					P.4.1.57	a + keSa	pwg-new-fill			
akowa		1						a + kowa	pwg-new-fill			
akOSala		1					P.7.3.30	a + kOSala	pwg-new-fill			
akkA							P.7.3.107					
akratu		1						a + kratu	pwg-new-fill			
akrama		1						a + krama	pwg-new-fill			
akravihasta		1						a + kravihasta	pwg-new-fill			
akravyAd		1						a + kravyAd	pwg-new-fill			
akravyAda		1						a + kravyAda	pwg-new-fill			
akrAnta		1						a + krAnta	pwg-new-fill			
akrILant		1						a + krILant	pwg-new-fill			
akrUra		1						a + krUra	pwg-new-fill			
akroDa		1						a + kroDa	pwg-new-fill			
akroDana		1						a + kroDana	pwg-new-fill			
akleSa		1						a + kleSa	pwg-new-fill			
akza	1						P.2.1.18|P.5.4.74|P.5.4.76|P.5.4.113|P.5.21.14|P.6.2.2|P.6.2.121|P.8.2.13			vaMSAdiH	5.1.50	
akza	2						P.2.1.18|P.5.4.74|P.5.4.76|P.5.4.113|P.5.21.14|P.6.2.2|P.6.2.121|P.8.2.13			vaMSAdiH	5.1.50	
akza	3						P.2.1.18|P.5.4.74|P.5.4.76|P.5.4.113|P.5.21.14|P.6.2.2|P.6.2.121|P.8.2.13			vaMSAdiH	5.1.50	
akzaka		1	akza	ka	уменьш./собират.	RATNAM.						
akzaja		1						akza + ja	agrees			
akzaRvant							P.6.1.176|P.7.1.76					
akzata		1						a + kzata	pwg-new-fill			
akzatra		1						a + kzatra	pwg-new-fill			
akzadfS		1						akza + dfS	agrees			
akzadyU		1					P.6.4.19	akza + dyU	agrees			
akzadyUta		1						akza + dyUta	agrees	akzadyUtAdiH	4.4.19	
akzadrugDa		1						akza + drugDa	agrees			
akzaDara		1						akza + Dara	agrees			
akzaDUrta		1						akza + DUrta	agrees			
akzan							P.4.29.5|P.7.1.75|P.7.1.76					
akzapari							P.2.1.10		index-only			
akzapIqA		1						akza + pIqA	agrees			
akzama		1						a + kzama	pwg-new-fill			
akzamA		1					P.1.4.37	a + kzamA	pwg-new-fill			
akzamAlin		1	akzamAlA	in	поссессив	MBH. 12,10374			index-only			
akzaya		1						a + kzaya	pwg-new-fill			
akzayaguRa		1						akzaya + guRa	agrees			
akzayatftIyA		1						akzaya + tftIyA	agrees			
akzayatva		1	akzaya	tva	абстракт	HIT. Pr. 4			index-only			
akzayapuruhUta		1						akzaya + puruhUta	agrees			
akzayamati		1						akzaya + mati	agrees			
akzayiRI		1						a + kzayiRI	pwg-new-fill			
akzayya		1						a + kzayya	pwg-new-fill			
akzara		1					P.7.2.9|P.8.2.89	a + kzara	pwg-new-fill	gavAdiH|guRAdiH	5.1.2|6.2.176	
akzaraka		1	akzara	ka	уменьш./собират.	ŚRUT. 29						
akzaranyAsa		1						akzara + nyAsa	agrees			
akzarapaNkti	1							akzara + paNkti	agrees			
akzarapaNkti	2	1						akzara + paNkti	agrees			
akzaraBAj		1						akzara + BAj	agrees			
akzaravinyAsa		1						akzara + vinyAsa	agrees			
akzaraSas		1	akzara	Sas	адверб	AIT. BR. 6,2			index-only			
akzarasaMsTAna		1						akzara + saMsTAna	agrees			
akzarANga		1						akzara + aNga	pwg-new-fill			
akzarAja		1						akza + rAja	agrees			
akzarya		1	akzara	ya	относит./vṛddhi	ṚV. PRĀTIŚ. 18,3						
