slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_grounded_verse	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
Aditya		11	11	198	1574	7	254	0.1614	0	0	2	1	R3_tagged_but_unaligned
Agama		15	14	127	650	13	47	0.0723	0	0	1	1	R3_tagged_but_unaligned
Agneya		15	15	65	369	7	51	0.1382	0	0	3	1	R3_tagged_but_unaligned
Arya		13	12	28	856	10	97	0.1133	0	0	1	1	R3_tagged_but_unaligned
As	2	22	22	317	1379	13	108	0.0783	0	0	0	1	R3_tagged_but_unaligned
Asana	1	11	11	94	1295	9	109	0.0842	0	0	0	1	R3_tagged_but_unaligned
Asura		11	11	64	151	3	17	0.1126	0	0	1	1	R3_tagged_but_unaligned
Atman		16	14	221	11147	24	520	0.0466	0	0	1	1	R3_tagged_but_unaligned
AvApa		13	13	45	75	2	20	0.2667	0	0	1	1	R3_tagged_but_unaligned
BArata		15	15	165	2581	5	155	0.0601	2	0	0	1	R4_grounded_alignment
BAva		17	17	238	2834	32	169	0.0596	0	0	1	1	R3_tagged_but_unaligned
BAvana	1	18	16	98	90	2	2	0.0222	1	0	1	1	R4_grounded_alignment
BErava	1	12	12	106	480	8	91	0.1896	0	0	1	1	R3_tagged_but_unaligned
BIma		11	11	116	2373	18	236	0.0995	0	0	1	1	R3_tagged_but_unaligned
BU	1	21	20	1159	32612	64	3393	0.1040	0	0	1	1	R3_tagged_but_unaligned
BUta		17	17	327	4215	16	320	0.0759	1	0	2	1	R4_grounded_alignment
BUti		11	11	99	285	9	117	0.4105	0	0	1	1	R3_tagged_but_unaligned
BaNga		17	16	167	315	8	24	0.0762	0	0	1	1	R3_tagged_but_unaligned
Badra		26	25	312	1211	25	103	0.0851	0	0	2	1	R3_tagged_but_unaligned
Badraka		13	13	26	36	0	0	0.0000	1	0	1	1	R4_grounded_alignment
Baga		11	11	232	417	11	80	0.1918	0	0	1	1	R3_tagged_but_unaligned
Bavya		19	18	138	93	7	13	0.1398	0	0	1	1	R3_tagged_but_unaligned
Beda		13	13	165	1796	20	142	0.0791	0	0	1	1	R3_tagged_but_unaligned
CAya		15	14	138	7	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Cattra		12	12	56	424	4	40	0.0943	0	0	1	1	R3_tagged_but_unaligned
DA	1	15	15	1184	2272	30	194	0.0854	0	0	2	1	R3_tagged_but_unaligned
DAraRa		20	20	169	405	10	48	0.1185	1	0	0	1	R4_grounded_alignment
Dara		11	10	99	930	9	94	0.1011	0	0	1	1	R3_tagged_but_unaligned
DaraRa		18	13	64	35	1	2	0.0571	0	0	1	1	R3_tagged_but_unaligned
Darma		12	12	210	11534	16	677	0.0587	0	0	1	1	R3_tagged_but_unaligned
Davala		15	14	59	106	4	18	0.1698	0	0	1	1	R3_tagged_but_unaligned
Dfti		13	12	102	469	8	14	0.0299	0	0	2	1	R3_tagged_but_unaligned
DizaRa		11	10	75	12	2	2	0.1667	1	1	0	1	R4_grounded_alignment
Druva		31	29	259	710	19	55	0.0775	0	0	3	1	R3_tagged_but_unaligned
Endra		12	12	72	233	2	9	0.0386	0	0	1	1	R3_tagged_but_unaligned
ErAvata		12	11	86	126	4	28	0.2222	1	0	1	1	R4_grounded_alignment
Gana		19	18	145	987	21	250	0.2533	0	0	1	1	R3_tagged_but_unaligned
Gawa		19	19	97	529	5	89	0.1682	0	0	1	1	R3_tagged_but_unaligned
Gora		14	14	101	2223	11	237	0.1066	0	0	1	1	R3_tagged_but_unaligned
ISvara		12	12	81	2605	25	282	0.1083	0	0	1	1	R3_tagged_but_unaligned
Ka	2	15	15	93	676	14	135	0.1997	0	0	0	1	R3_tagged_but_unaligned
KaRqa		13	13	89	704	13	79	0.1122	0	0	0	1	R3_tagged_but_unaligned
Kara		15	15	115	641	13	217	0.3385	0	0	1	1	R3_tagged_but_unaligned
KyA		11	11	243	691	7	111	0.1606	0	0	0	1	R3_tagged_but_unaligned
Pala		17	17	116	5982	27	675	0.1128	0	0	2	1	R3_tagged_but_unaligned
SAKa		13	13	121	16	1	1	0.0625	1	0	0	1	R4_grounded_alignment
SAnta	1	16	15	207	19	3	3	0.1579	0	0	2	1	R3_tagged_but_unaligned
SAnti		14	14	178	770	14	57	0.0740	1	0	1	1	R4_grounded_alignment
