id	k1	hom	L_id	verdict	rule	stratum	pwg_members	index_members	pwg_source_split	mw_first_variant	mw_variant_count	mw_k2_raw	pwg_source_paren	dcs_freq	evidence	reason
ADArarUpA	ADArarUpA		66436	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	ADAra + rUpa	ADAra + rUpA	ADAra + rUpa	A-DAra + rUpA	1	A-DAra—rUpA	({#ADAra#} + {#rUpa#})	1	form_diffs=rUpa|rUpA; mw_hyphen_members=A-DAra	both sources cut the word in the same place; the members differ only in form (rUpa|rUpA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
ADIkaraRa	ADIkaraRa		66445	unresolved	cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	ADi + kar	ADI + karaRa	ADi + kar	ADI + karaRa	1	ADI—karaRa	(von <hom>1.</hom> {#ADi#} + <hom>1.</hom> {#kar#})			the two sources cut the word in different places and BOTH readings decompose into attested headwords (`ADi + kar` vs `ADI + karaRa`) — a genuine lexicographic disagreement, not a notation difference
AKuparRikA	AKuparRikA		7911	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	AKu + parRa	AKu + parRikA	AKu + parRa	A-Ku + parRikA	1	A-Ku—parRikA	(von {#AKu#} {%Maus%} + {#parRa#} {%Blatt%})	5	form_diffs=parRa|parRikA; mw_hyphen_members=A-Ku	both sources cut the word in the same place; the members differ only in form (parRa|parRikA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
ASIrdA	ASIrdA		9591	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	ASis + dA	ASIr + dA	ASis + dA	ASIr + dA	1	ASIr—dA/	(<hom>1.</hom> {#ASis#} + {#dA#})		form_diffs=ASis|ASIr	both sources cut the word in the same place; the members differ only in form (ASis|ASIr) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
ASIrgeya	ASIrgeya		9589	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	ASis + geya	ASIr + geya	ASis + geya	ASIr + geya	1	ASIr—geya	(<hom>1.</hom> {#ASis#} + {#geya#})		form_diffs=ASis|ASIr	both sources cut the word in the same place; the members differ only in form (ASis|ASIr) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
ASIrvAda	ASIrvAda		9593	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	ASis + vAda	ASIr + vAda	ASis + vAda	ASIr + vAda	1	ASIr—vAda	(<hom>1.</hom> {#ASis#} + {#vAda#})	30	form_diffs=ASis|ASIr	both sources cut the word in the same place; the members differ only in form (ASis|ASIr) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
ASitaMBava	ASitaMBava		9574	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	ASita + Bava	ASita + MBava	ASita + Bava	ASita + M-Bava	1	ASita—M-Bava	(von {#ASita#} + {#Bava#})		index_members_unattested=MBava; mw_hyphen_members=M-Bava	the two segmentations differ and every PWG member is an attested headword while MW's `MBava` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
ASitaMgavIna	ASitaMgavIna		9573	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	ASita + go	ASita + MgavIna	ASita + go	ASita + M-gavIna	1	ASita—M-gavIna	(<ab>ungrammat.</ab> <ab>Bild.</ab> von {#ASita#} + {#go#})		index_members_unattested=MgavIna; mw_hyphen_members=M-gavIna	the two segmentations differ and every PWG member is an attested headword while MW's `MgavIna` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
ASuzeRa	ASuzeRa		9612	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	ASu + senA	ASu + zeRa	ASu + senA	ASu + zeRa	1	ASu—zeRa	(von {#ASu#} + {#senA#})		form_diffs=senA|zeRa; index_members_unattested=zeRa	both sources cut the word in the same place; the members differ only in form (senA|zeRa) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AcAracakrin	AcAracakrin		66201	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	AcAra + cakra	AcAra + cakrin	AcAra + cakra	A-cAra + cakrin	1	A-cAra—cakrin	(von {#AcAra#} + {#cakra#})		mw_hyphen_members=A-cAra; taddhita_suffix=in	only the final member differs: PWG's `cakra` is an attested headword and MW's `cakrin` is that lexeme plus `-in`, a suffix that derives the WHOLE compound rather than being one of its members
