pwg_abbrev	citations	dcs_text_true	verdict	evidence	reason
P	21305	Aṣṭādhyāyī	map	rank 1/220; verse 80.3%; null max 23.5%	pwgbib "PĀṆINI'S acht Bücher grammatischer Regeln"; PWG cites adhyāya,pāda,sūtra and DCS's Aṣṭādhyāyī address is the same 3-tuple. The backlog said DCS-LACKS only because the candidate matcher keys on the GERMAN bib prose, which never contains the Sanskrit title.
M	20605	Manusmṛti	map	rank 1/220; verse 82.4%; null max 15.6%	pwgbib "MANU'S Gesetzbuch, ed. LOISELEUR DESLONGCHAMPS"; PWG cites adhyāya,śloka, DCS the same. Loiseleur's numbering is the vulgate Manu and agrees with DCS's. Same German-prose blind spot as P.
KIR	644	Kirātārjunīya	map	rank 1/220; verse 97.9%	pwgbib "ed. Calc."; PWG cites sarga,śloka (comp0<=18) and DCS carries exactly 18 sarga chapters with a verse counter.
ŚĀṄKH. ŚR	2469	Śāṅkhāyanaśrautasūtra	map	rank 2/220 (only Mahābhārata above); verse 42.4%	PWG cites adhyāya,kaṇḍikā,sūtra; DCS ref "ŚāṅkhŚS, adhyāya, kaṇḍikā" + sent_counter is the same 3-tuple. The one candidate the loose name match got right.
PAÑCAV. BR	2089	Pañcaviṃśabrāhmaṇa	map	rank 2/220 (only Mahābhārata above); verse 48.5%	pwgbib "PAÑCAVIṂŚABRĀHMAṆA"; PWG cites prapāṭhaka,khaṇḍa,verse; DCS ref "PB, a, b" + counter is the same 3-tuple.
KĀTY. ŚR	8099	Kātyāyanaśrautasūtra	map	rank 2/220 (only Mahābhārata above); verse 25.5%	CORRECTS H1670, which rejected the pairing with Kātyāyana*smṛti* — a different work. DCS also carries the actual Kātyāyana*śrautasūtra*, which the prefix matcher never offered because it picked the largest name-alike. pwgbib "KĀTYĀYANA'S ŚRAUTASŪTRĀṆI. 26 Adhyāya"; PWG cites adhyāya,kaṇḍikā,sūtra.
GOBH	882	Gobhilagṛhyasūtra	map	rank 6/220 (only mega-texts above); verse 55.4%	pwgbib "GOBHILA'S GṚHYASŪTRA"; PWG cites prapāṭhaka,khaṇḍa,sūtra; DCS the same 3-tuple over 4 prapāṭhakas.
ĀŚV. GṚHY	1555	Āśvalāyanagṛhyasūtra	map	rank 6/220 (only mega-texts above); verse 50.4%	pwgbib "ĀŚVALĀYANA'S GṚHYASŪTRĀṆI"; PWG cites adhyāya,kaṇḍikā,sūtra over 4 adhyāyas; DCS the same.
BṚH. ĀR. UP	747	Bṛhadāraṇyakopaniṣad	map	rank 11/220 (only mega-texts above); verse 54.1%	pwgbib "ed. RÖER, Bibliotheca indica"; PWG cites adhyāya,brāhmaṇa,verse over 6 adhyāyas; DCS ref "BĀU, a, b" + counter is the same 3-tuple.
GĪT	1138	Gītagovinda	map	rank 3/220; verse 98.9%	pwgbib "ed. LASSEN"; PWG cites sarga,verse; DCS carries exactly 12 sarga chapters. Rank is soft (dense 2-tuple space) — accepted on the structural match plus the hand-check.
