key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml
a	a	a	a	fiction	1	001-1	SCH-fiction-3147_cases.xml
aMSumatPalA	am2s4umatphala1	aṃśumatphalā	anśumatphalā	fiction	13	001-1	SCH-fiction-3147_cases.xml
akata	akata	akata	akata	fiction	27	001-2	SCH-fiction-3147_cases.xml
akaSApa	Akas4a1pa	akaśāpa	akaśāpa	fiction	77	002-1	SCH-fiction-3147_cases.xml
akArzRya	aka1rs2n2ya	akārṣṇya	akārṣnya	fiction	99	002-2	SCH-fiction-3147_cases.xml
akti	akti	akti	akti	fiction	185	003-3	SCH-fiction-3147_cases.xml
akza	aks2a	akṣa	akṣa	fiction	213	004-1	SCH-fiction-3147_cases.xml
akzapAtana	aks2apa1tana	akṣapātana	akṣapātana	fiction	233	004-2	SCH-fiction-3147_cases.xml
akzaBAra	aks2abha1ra	akṣabhāra	akṣabhāra	fiction	234	004-2	SCH-fiction-3147_cases.xml
akzara	aks2ara	akṣara	akṣara	fiction	246	004-2	SCH-fiction-3147_cases.xml
akzinikARam	aks2inika1n2am	akṣinikāṇam	akṣinikānam	fiction	288	005-1	SCH-fiction-3147_cases.xml
akzIba	aks2i1ba	akṣība	akṣība	fiction	296	005-1	SCH-fiction-3147_cases.xml
akzowa	aks2ot2a	akṣoṭa	akṣoṭa	fiction	309	005-2	SCH-fiction-3147_cases.xml
agadaMkAra	agadam2ka1ra	agadaṃkāra	agadankāra	fiction	348	005-3	SCH-fiction-3147_cases.xml
agaru	agaru	agaru	agaru	fiction	357	006-1	SCH-fiction-3147_cases.xml
agastI	agasti1	agastī	agastī	fiction	363	006-1	SCH-fiction-3147_cases.xml
agArdaBaraTika	aga1rdabharathika	agārdabharathika	agārdabharathika	fiction	378	006-1	SCH-fiction-3147_cases.xml
agfhapati	agr2hapati	agṛhapati	agṛhapati	fiction	395	006-2	SCH-fiction-3147_cases.xml
agfhya	a4gr2hya	agṛhya	agṛhya	fiction	398	006-2	SCH-fiction-3147_cases.xml
agopa	agopa	agopa	agopa	fiction	405	006-3	SCH-fiction-3147_cases.xml
agozpada	agos2pada	agoṣpada	agoṣpada	fiction	411	006-3	SCH-fiction-3147_cases.xml
agnikoRa	agnikon2a	agnikoṇa	agnikona	fiction	417	006-3	SCH-fiction-3147_cases.xml
agnijanman	agnijanman	agnijanman	agnijanman	fiction	425	006-3	SCH-fiction-3147_cases.xml
agniBU	agnibhu1	agnibhū	agnibhū	fiction	448	007-1	SCH-fiction-3147_cases.xml
agniSiKa	agnis4ikha	agniśikha	agniśikha	fiction	460	007-2	SCH-fiction-3147_cases.xml
agrakAya	agraka1ya	agrakāya	agrakāya	fiction	490	007-3	SCH-fiction-3147_cases.xml
agragrAsikA	agragra1sika1	agragrāsikā	agragrāsikā	fiction	495	007-3	SCH-fiction-3147_cases.xml
agrajanman	agrajanman	agrajanman	agrajanman	fiction	497	007-3	SCH-fiction-3147_cases.xml
agraBojana	agrabhojana	agrabhojana	agrabhojana	fiction	513	008-1	SCH-fiction-3147_cases.xml
agrAmyakanda	agra1myakanda	agrāmyakanda	agrāmyakanda	fiction	530	008-2	SCH-fiction-3147_cases.xml
aNgana	an3gana	aṅgana	angana	fiction	605	009-2	SCH-fiction-3147_cases.xml
aNgamardaka	an3gamardaka	aṅgamardaka	angamardaka	fiction	614	009-2	SCH-fiction-3147_cases.xml
aNgArakita	an3ga1rakita	aṅgārakita	angārakita	fiction	634	009-3	SCH-fiction-3147_cases.xml
aNgulIPaRahastaka	an3guli1phan2ahastaka	aṅgulīphaṇahastaka	angulīphanahastaka	fiction	654	010-1	SCH-fiction-3147_cases.xml
ac	ac	ac	ac	fiction	666	010-1	SCH-fiction-3147_cases.xml
acatura	acatura	acatura	acatura	fiction	677	010-2	SCH-fiction-3147_cases.xml
acArmaRa	aca1rman2a	acārmaṇa	acārmana	fiction	708	010-3	SCH-fiction-3147_cases.xml
acintyaja	acintyaja	acintyaja	acintyaja	fiction	714	010-3	SCH-fiction-3147_cases.xml
acCamaRqaka	acchaman2d2aka	acchamaṇḍaka	acchamanḍaka	fiction	741	011-1	SCH-fiction-3147_cases.xml
aja	aja	aja	aja	fiction	774	011-2	SCH-fiction-3147_cases.xml
ajakava	ajakava	ajakava	ajakava	fiction	775	011-2	SCH-fiction-3147_cases.xml
ajakAva	ajaka1va	ajakāva	ajakāva	fiction	776	011-2	SCH-fiction-3147_cases.xml
ajakranda	Ajakranda	ajakranda	ajakranda	fiction	778	011-3	SCH-fiction-3147_cases.xml
ajagava	ajagava	ajagava	ajagava	fiction	782	011-3	SCH-fiction-3147_cases.xml
ajanASam	ajana1s4am	ajanāśam	ajanāśam	fiction	794	011-3	SCH-fiction-3147_cases.xml
ajabanDu	Ajabandhu	ajabandhu	ajabandhu	fiction	798	011-3	SCH-fiction-3147_cases.xml
ajamAra	Ajama1ra	ajamāra	ajamāra	fiction	800	011-3	SCH-fiction-3147_cases.xml
ajApAla	Aja1pa1la	ajāpāla	ajāpāla	fiction	817	012-1	SCH-fiction-3147_cases.xml
ajinin	ajinin	ajinin	ajinin	fiction	828	012-2	SCH-fiction-3147_cases.xml
aYcana	an5cana	añcana	ancana	fiction	856	012-3	SCH-fiction-3147_cases.xml
aYjana	an5jana	añjana	anjana	fiction	859	012-3	SCH-fiction-3147_cases.xml
aYjanika	an5janika	añjanika	anjanika	fiction	868	012-3	SCH-fiction-3147_cases.xml
aYjalikA	an5jalika1	añjalikā	anjalikā	fiction	870	012-3	SCH-fiction-3147_cases.xml
aRaka	an2aka	aṇaka	anaka	fiction	894	013-1	SCH-fiction-3147_cases.xml
aRita	an2ita	aṇita	anita	fiction	900	013-2	SCH-fiction-3147_cases.xml
aRqa	an2d2a	aṇḍa	anḍa	fiction	911	013-2	SCH-fiction-3147_cases.xml
aRqAraka	An2d2a1raka	aṇḍāraka	anḍāraka	fiction	918	013-2	SCH-fiction-3147_cases.xml
at	at	at	at	fiction	921	013-3	SCH-fiction-3147_cases.xml
atikandaka	atikandaka	atikandaka	atikandaka	fiction	976	014-2	SCH-fiction-3147_cases.xml
atigaRqa	atigan2d2a	atigaṇḍa	atiganḍa	fiction	1004	014-3	SCH-fiction-3147_cases.xml
aticAra	atica1ra	aticāra	aticāra	fiction	1021	014-3	SCH-fiction-3147_cases.xml
atimahiman	atimahiman	atimahiman	atimahiman	fiction	1178	017-1	SCH-fiction-3147_cases.xml
atimAla	atima1la	atimāla	atimāla	fiction	1185	017-1	SCH-fiction-3147_cases.xml
atimuktaka	atimuktaka	atimuktaka	atimuktaka	fiction	1186	017-1	SCH-fiction-3147_cases.xml
atispfhayAlutA	atispr2haya1luta1	atispṛhayālutā	atispṛhayālutā	fiction	1384	019-3	SCH-fiction-3147_cases.xml
atisvan	atisvan	atisvan	atisvan	fiction	1387	019-3	SCH-fiction-3147_cases.xml
atihimam	atihimam	atihimam	atihimam	fiction	1398	019-3	SCH-fiction-3147_cases.xml
atfptikft	atr2ptikr2t	atṛptikṛt	atṛptikṛt	fiction	1417	020-1	SCH-fiction-3147_cases.xml
adyaSvIna	adyas4vi1na	adyaśvīna	adyaśvīna	fiction	1610	022-2	SCH-fiction-3147_cases.xml
adriBid	adribhid	adribhid	adribhid	fiction	1622	022-3	SCH-fiction-3147_cases.xml
aDigopam	adhigopam	adhigopam	adhigopam	fiction	1727	024-1	SCH-fiction-3147_cases.xml
aDirUQa	adhiru1d2ha	adhirūḍha	adhirūḍha	fiction	1769	024-2	SCH-fiction-3147_cases.xml
aDirohaRI	adhirohan2i1	adhirohaṇī	adhirohanī	fiction	1776	024-3	SCH-fiction-3147_cases.xml
