id	surface	gold	witness	panel	class	note	witness_output
0	sarva-BUtezu	sarvaBUta	H	correct	policy	compound entry vs members sarva+bhUta	BU;BUta;Bu;Uta;av;sarva;uta;vA
0	sarva-BUtezu	sarvaBUta	D	correct	policy	compound entry vs members sarva+bhUta	BUta;sarva
2	nivAryate	nivAray	H	correct	policy	root vR (+preverb ni) vs adjudicated causative stem nivAray — phase-4 kamp/kampay pattern	ni;vf
3	marjya	marjya	H	correct	error	Word-mode no analysis (gerundive marjya)	-
3	marjya	marjya	D	correct	policy	root mfj vs gerundive-stem marjya	mfj
8	mahAkapi	mahAkapi	H	correct	policy	members mahat+kapi (tat-sandhi mahA-) vs entry mahAkapi	kapi;mahat
9	mahAraTa	mahAraTa	H	correct	policy	members mahat+ratha vs entry mahAraTa	mahat;ratha
9	mahAraTa	mahAraTa	D	correct	error	mahArata — aspiration h dropped, dental t for retroflex T	mahArata
10	sUtikAgni	sUtikAgni	H	correct	policy	members sUtikA+agni vs entry sUtikAgni	agni;sUtikA
11	sarva-BUtASaya-sTita	sTita	H	correct	policy	participle sthit / root sthA vs adjudicated ppp sTita; + surplus fragments ASa/BU/Bu/Uta/av	ASa;ASaya;BU;BUta;Bu;Uta;av;sarva;sthA;sthita;uta;vA;ya
11	sarva-BUtASaya-sTita	sTita	D	correct	error	final member sTita absent from segmentation (§95 misalignment class)	ASaya;BUta;sarva
12	brahmanirvARa	brahmanirvARa	H	correct	policy	members brahman+nirvARa vs entry brahmanirvARa	brahman;nirvARa
12	brahmanirvARa	brahmanirvARa	D	correct	policy	members brahman+nirvARa vs entry brahmanirvARa	brahman;nirvARa
13	mokza-kAma	mokzakAma	H	correct	policy	members mokza+kAma vs entry mokzakAma	kAma;mokza
13	mokza-kAma	mokzakAma	D	correct	policy	members mokza+kAma vs entry mokzakAma	kAma;mokza
15	snA	snA	H	correct	error	Word-mode no analysis (verbal noun snA)	-
16	evaM	evam	H	correct	error	Word-mode no analysis (indeclinable evam)	-
17	Barata-SrezWa	BarataSrezWa	H	correct	policy	members Barata+SrezWa vs entry BarataSrezWa	Barata;SrezWa
