id,slp1,sa,ru,kind,period,work,llm_label,human_label,reviewer_id,confidence,needs_adjudication,human_note
5,ikzvAkURAM,ikṣvākūṇāṃ,Икшваку,commentary,Classical,raghuvamsha,proper-name,proper-name,MG,medium,false,"Если Икшваку встречается не вначале предложения или стихотворной строки с заглавной буквы, может ли быть иначе? Дообучить LLM"
3,Kinna,khinna,уставший,translation,Classical,shatakatrayam-serebryakov,correct,correct,MG,medium,false,"Верен ли ярлык LLM «correct» для этого перевода?
Ты даешь причастие, но не говоришь от какого корня и что корень означает согласно Whitney, а также не приводишь контексты, а у нас их десятки, если не сотни. Зачем гадать в кофейной гуще, когда у нас давно достаточо данных?"
6,puruza,puruṣa,Муж,commentary,Epic / early-Classical,bhagavadgita-erman,correct,correct,MG,medium,false,В том числе муж. Муж теперь главное значение или одно их? Недостаточно данных для однозначного ответа
9,gARqIvam,gāṇḍīvam,гандива,translation,Epic / early-Classical,05_mahabharata-udyogaparva,proper-name,proper-name,MG,medium,false,"Верен ли ярлык LLM «proper-name» для этого перевода? - если имя собственное, то почему гандива вместо Гандива? Также с именами собственными надо проверять не меняют ли санскритизмы род, попав в русский язык, надо отдельно исследовать в рамках C:\Users\user\Documents\GitHub\SamudraManthanam\nkrya-parallel"
4,saMsAra,saṃsāra,сансары,commentary,Medieval,gitarthasamgraha-abhinavagupta,lemma-variant,lemma-variant,MG,medium,false,"Как осанскриченное русское слово, заимствование, да, так можно, это слово вошло в русский язык. Какие еще слова вошли? Проверить про НКРЯ. Но также проверить определение данное в устном корпусе нашими лекторами и из вторичных источников и комментариев C:\Users\user\Documents\GitHub\SamudraManthanam"
2,kftAYjali,kṛtāñjali,сложив руки,translation,Medieval,gitarthasamgraha-abhinavagupta,correct,partial,MG,medium,false,"partial, правильно (почтительное) сложив руки"
0,yuvAnam,yuvānam,молодым,commentary,Vedic,01_rigveda,correct,correct,MG,medium,false,"Этимологически связан с русским юный, сравнить данные Фасмера в Этимологическом словаре"
1,grAmyAH,grāmyāḥ,деревенский,translation,Vedic,03_atharvaveda,lemma-variant,lemma-variant,MG,medium,false,"Почему  «lemma-variant», а не просто correct? И почему мы работаем не с основами, а формами падежей? Форм бесконечное множество, можно утонуть в них"
118,aruRAmSub,aruṇāmśub,Аруна,commentary,Classical,raghuvamsha,partial,partial,MG,medium,true,"aruṇāmśub - многовато букв для Аруна, aruṇā, а точнее aruṇa это Аруна | ADJ 28-07-2026 MG: reject не нёс ярлыка типологии; ruled defer → needs_adjudication=true (ярлык LLM partial сохранён как llm_label)"
128,grAvan,grāvan,камень,translation,Classical,nyaya-bhashya,correct,correct,MG,medium,false,русской родственное гравий
92,avAk-SAKaH,avāk-śākhaḥ,с ветвями вниз,commentary,Epic / early-Classical,bhagavadgita-radha,correct,correct,MG,medium,false,"не видя контекста, а он у тебя есть, но отсутствует у меня - допустим"
87,pramucyate,pramucyate,освобождается,translation,Epic / early-Classical,bhagavadgita-prabhupada,correct,correct,MG,medium,false,
105,kApAlike,kāpālike,череп,commentary,Medieval,hatha-yoga-pradipika,wrong-sense,correct,MG,medium,false,"correct — kāpālika и есть череп, череп correct | ADJ 28-07-2026 MG: ярлык LLM wrong-sense отклонён, человеческий ярлык = correct"
120,te,te,твоей,translation,Medieval,gitarthasamgraha-abhinavagupta,correct,correct,MG,medium,false,"У этого местоимения много значений, не факт, что это наиболее частотное"
80,advaita,advaita,недвойственный,commentary,Vedic,br-up,correct,correct,MG,medium,false,
122,na,na,словно,translation,Vedic,08_rigveda,correct,correct,MG,medium,false,"na это всегда нет, никогда не словно | ADJ 28-07-2026 MG: ярлык LLM correct оставлен в силе — в РВ na регулярно выступает частицей сравнения «словно, как» (Grassmann s.v. na 2; Macdonell §180: śyeno na «словно сокол»), работа именно 08_rigveda. MG: «не было оговорено, что это Ригведа, а тем более приведено все то, что тобой сейчас написано. Это все надо давать ДО, а не ПОСЛЕ» — требование к карточке, см. H1796"
221,prAyaRa,prāyaṇa,смерти,commentary,Classical,nyaya-bhashya,lemma-variant,correct,MG,medium,false,"correct — Почему lemma-variant, а не correct не понял | ADJ 28-07-2026 MG: ярлык LLM lemma-variant отклонён, человеческий ярлык = correct"
201,DvanisparSa,dhvanisparśa,звуки и прикосновения,translation,Classical,nyaya-bhashya,correct,correct,MG,medium,false,звуки и прикосновения - сомневаюсь. Откуда взято? Это не прикосновение звука? | ADJ 28-07-2026 MG: ярлык LLM correct оставлен в силе
189,Danezin,dhaneṣin,истцом,commentary,Epic / early-Classical,manavadharmashastra,correct,correct,MG,medium,false,
224,titikz,titikṣ,стремись терпеть,translation,Epic / early-Classical,bhagavadgita-burba,lemma-variant,lemma-variant,MG,medium,false,
