id,headword,de,en,human_label,notes
0,ni+vad,"<div n=""p"">— {#ni#} <ab>caus.</ab> <ab>med.</ab> {%erschallen lassen%}: {#BerIsahasrARi SaNKAnAmayutAni ca#}
<ls>MBH. 5,7656. fg.</ls>","<div n=""p"">— {#ni#} <ab>caus.</ab> <ab>med.</ab> to cause to resound: {#BerIsahasrARi SaNKAnAmayutAni ca#}
<ls>MBH. 5,7656. fg.</ls>",,
1,upagā,"<div n=""1"">— 2) {%besingen%}: {#(jambuH) arcitA copagItA ca nityamapsarasAM gaREH#}
<ls>R. 4,44,57.</ls> {#surAsurendrErupagIyamAnamahAnuBAvaH#}
<ls>BHĀG. P. 4,16,27.</ls> {#yatropagIyate nityaM devadevaH#}
<ls n=""BHĀG. P."">3,7,20.</ls> {#saptasAmopagItaM tvAm#}
<ls>RAGH. 10,22.</ls>","<div n=""1"">— 2) to celebrate in song: {#(jambuH) arcitA copagItA ca nityamapsarasAM gaREH#}
<ls>R. 4,44,57.</ls> {#surAsurendrErupagIyamAnamahAnuBAvaH#}
<ls>BHĀG. P. 4,16,27.</ls> {#yatropagIyate nityaM devadevaH#}
<ls n=""BHĀG. P."">3,7,20.</ls> {#saptasAmopagItaM tvAm#}
<ls>RAGH. 10,22.</ls>",,
2,śam,"<div n=""1"">— 5〉 {%zur ewiger Ruhe bringen, den Garaus machen%}.","<div n=""1"">— 5〉 to bring to eternal rest, to make an end of.",,
3,śam,"<div n=""1"">— 2〉 substantivisch {%Heil, Wohl, Glück, Segen,%} mit <ab>Dat.</ab> oder <ab>Gen.</ab>","<div n=""1"">— 2〉 as substantive: welfare, weal, happiness, blessing, with <ab>Dat.</ab> or <ab>Gen.</ab>",,
4,bhuj,"<div n=""1""> 1) {#Bojayati#} (
<ls>P. 1,3,87.</ls>
<ls>VOP. 22,2</ls>) {%Jmd Etwas essen lassen, speisen mit%}; mit doppeltem <ab>acc.</ab> (
<ls>P. 1,4,52.</ls>
<ls>VOP. 5,5</ls>) oder mit <ab>acc.</ab> der Person und <ab>instr.</ab> der Sache.
<ls>KĀTY. ŚR. 4,6,10.</ls> <ls n=""KĀTY. ŚR."">25,8,1.</ls> {#sarpirmaDuByAmftvijo Bojayet#}
<ls>LĀṬY. 3,6,8.</ls> {#ftvijo brahmOdanaM BojayitvA#}
<ls n=""LĀṬY."">9,9,8.</ls> <ls>KAUŚ. 6. 17. 24. 43. 61.</ls> <ls>ĀŚV. GṚHY. 1,22,18. 2,3,13.</ls> <ls>PĀR. GṚHY. 2,2.</ls> {#vESyaSUdrO Bojayet#}
<ls>M. 3,112</ls> — <ls n=""M. 3,"">114.</ls> <ls n=""M. 3,"">125.</ls> <ls n=""M. 3,"">129.</ls> <ls>YĀJÑ. 1,108.</ls> <ls>MBH. 1,4965.</ls> <ls n=""MBH."">4,539</ls> {#(pAtrIhastA — Bojayantyuta#} mit der <ls>ed. Bomb.</ls> zu lesen).
<ls n=""MBH. 4,"">595.</ls> <ls>HARIV. 9753.</ls> <ls>DAŚ. 2,33.</ls> <ls>R. 2,61,12.</ls> <ls>KATHĀS. 36,22.</ls> <ls>PAÑCAR. 3,14,24.</ls> <ls>PAÑCAR. 3,14,24.</ls> <ls>RĀJA-TAR. 1,164.</ls> <ls>BHĀG. P. 7,15,3.</ls> <ls>PAÑCAT. 26,20.</ls> <ls>ŚUK. in LA. (II) 34,19.</ls> {#na vE svayaM tadaSnIyAdatiTiM yanna Bojayet#}
<ls>Spr. 4355.</ls>
<ls>MBH. 14,1852.</ls>
<ls>R. 3,16,15.</ls> {#svadu ca BojitA#}
<ls>KATHĀS. 21,51.</ls>
<ls>BHĀG. P. 9,4,34.</ls>
<ls>PAÑCAR. 1,6,52</ls> {#(nAradaM#} <ab>st.</ab> {#nArada#} zu lesen). {#dvijAteH saMsTitasya tu . adEvaM BojayecCrAdDam#}
<ls>M. 3,247.</ls> {#hayAn — aBojayan — Bojyam#}
<ls>R. 2,91,53. fg.</ls> (<ls n=""GORR. 2,"">100,52</ls> <ls>GORR.</ls>). {#Bojayet — annAdyenAsakfccEtAn#}
<ls>M. 3,233.</ls>
<ls>MBH. 3,1007.</ls>
<ls>VARĀH. BṚH. S. 46,32.</ls> <ls>PAÑCAT. 121,12.</ls> <ls>HIT. 25,16</ls>, <ab>v. l.</ab> <ls n=""HIT."">31,21.</ls>
[Page5-0304]
{#Bojayate#} (ohne Ergänzung) aus metrischen Rücksichten {#(BuYjApayati#} <ab>v. l.</ab>)
<ls>Spr. 1103.</ls> {%Jmd Etwas geniessen lassen%}: {#(daMpatI) BogAnizwAn — BojayAmAsa#} ad
<ls>MEGH. 113.</ls> {#BojayizyAmi BavatIM Buvanatrayam#}
<ls>BHAṬṬ. 8,83.</ls> <ab>Vgl.</ab> {#BojanIya#} .","<div n=""p"">— <ab>caus.</ab> <ab>act.</ab>
<div n=""1""> 1) {#Bojayati#} (
<ls>P. 1,3,87.</ls>
<ls>VOP. 22,2</ls>) to cause someone to eat something, to feed with; with double <ab>acc.</ab> (
<ls>P. 1,4,52.</ls>
<ls>VOP. 5,5</ls>) or with <ab>acc.</ab> of the person and <ab>instr.</ab> of the thing.
<ls>KĀTY. ŚR. 4,6,10.</ls> <ls n=""KĀTY. ŚR."">25,8,1.</ls> {#sarpirmaDuByAmftvijo Bojayet#}
<ls>LĀṬY. 3,6,8.</ls> {#ftvijo brahmOdanaM BojayitvA#}
<ls n=""LĀṬY."">9,9,8.</ls> <ls>KAUŚ. 6. 17. 24. 43. 61.</ls> <ls>ĀŚV. GṚHY. 1,22,18. 2,3,13.</ls> <ls>PĀR. GṚHY. 2,2.</ls> {#vESyaSUdrO Bojayet#}
<ls>M. 3,112</ls> — <ls n=""M. 3,"">114.</ls> <ls n=""M. 3,"">125.</ls> <ls n=""M. 3,"">129.</ls> <ls>YĀJÑ. 1,108.</ls> <ls>MBH. 1,4965.</ls> <ls n=""MBH."">4,539</ls> {#(pAtrIhastA — Bojayantyuta#} to be read with <ls>ed. Bomb.</ls>).
<ls n=""MBH. 4,"">595.</ls> <ls>HARIV. 9753.</ls> <ls>DAŚ. 2,33.</ls> <ls>R. 2,61,12.</ls> <ls>KATHĀS. 36,22.</ls> <ls>PAÑCAR. 3,14,24.</ls> <ls>PAÑCAR. 3,14,24.</ls> <ls>RĀJA-TAR. 1,164.</ls> <ls>BHĀG. P. 7,15,3.</ls> <ls>PAÑCAT. 26,20.</ls> <ls>ŚUK. in LA. (II) 34,19.</ls> {#na vE svayaM tadaSnIyAdatiTiM yanna Bojayet#}
<ls>Spr. 4355.</ls>
<ls>MBH. 14,1852.</ls>
<ls>R. 3,16,15.</ls> {#svadu ca BojitA#}
<ls>KATHĀS. 21,51.</ls>
<ls>BHĀG. P. 9,4,34.</ls>
<ls>PAÑCAR. 1,6,52</ls> {#(nAradaM#} <ab>st.</ab> {#nArada#} to be read). {#dvijAteH saMsTitasya tu . adEvaM BojayecCrAdDam#}
<ls>M. 3,247.</ls> {#hayAn — aBojayan — Bojyam#}
<ls>R. 2,91,53. fg.</ls> (<ls n=""GORR. 2,"">100,52</ls> <ls>GORR.</ls>). {#Bojayet — annAdyenAsakfccEtAn#}
<ls>M. 3,233.</ls>
<ls>MBH. 3,1007.</ls>
<ls>VARĀH. BṚH. S. 46,32.</ls> <ls>PAÑCAT. 121,12.</ls> <ls>HIT. 25,16</ls>, <ab>v. l.</ab> <ls n=""HIT."">31,21.</ls>
[Page5-0304]
{#Bojayate#} (without complement) for metrical reasons {#(BuYjApayati#} <ab>v. l.</ab>)",,
5,pratyabhidhā,"<div n=""1"">— 2) {%erwiedern, antworten%}: {#pratyaByaDatta#} <ls>BHĀG. P. 4,3,15.</ls> {#mayA pratyaBihitA#} <ls>ŚĀK. 84,14.</ls>","<div n=""1"">— 2) to reply, to answer: {#pratyaByaDatta#}
<ls>BHĀG. P. 4,3,15.</ls> {#mayA pratyaBihitA#}
<ls>ŚĀK. 84,14.</ls>",,
6,upanipat,"<div n=""p"">— {#upani#}
<div n=""1""> 1) {%niederfliegen zu%}: {#taM haMsa upanipatyAByuvAda#}
<ls>CHĀND. UP. 4,7,2.</ls>","<div n=""p"">— {#upani#}
<div n=""1""> 1) to fly down to: {#taM haMsa upanipatyAByuvAda#}
<ls>CHĀND. UP. 4,7,2.</ls>",,
7,yat,"<div n=""1"">— 3) {%Jmd%} (<ab>gen.</ab>) {%Etwas%} (<ab>acc.</ab>) {%an's Herz legen%}: {#madIyezveva leKezu tatraBavatastvAmuddiSya saBAjanAni yAtayizyAmaH#} <ls>MĀLAV. 74,10.</ls>","3) to impress something (<ab>acc.</ab>) upon someone's (<ab>gen.</ab>) heart: {#madIyezveva leKezu tatraBavatastvAmuddiSya saBAjanAni yAtayizyAmaH#}
<ls>MĀLAV. 74,10.</ls>",,
8,pā,"<div n=""p"">— {#ud#} <ab>med.</ab> {%auftrinken, aufzehren, sich voll trinken%}: {#utpibante vA imAni dikzu nAzwrA rakzAMsi#} <ls>ŚAT. BR. 5,2,4,7.</ls> <ls n=""ŚAT. BR. 5,2,4,"">11.</ls>","{#ud#} <ab>med.</ab> to drink up, consume by drinking, drink one's fill: {#utpibante vA imAni dikzu nAzwrA rakzAMsi#} <ls>ŚAT. BR. 5,2,4,7.</ls> <ls n=""ŚAT. BR. 5,2,4,"">11.</ls>",,
9,śam,"<div n=""2"">— h〉 {%zur Ruhe gekommen,%} so <ab>v. a.</ab> {%zum Tode befördert, gestorben, ausgestorben%}.","<div n=""2"">— h〉 come to rest; so <ab>v. a.</ab> brought to death, deceased, extinct.",,
